Q5 complemento - top 5 fornecedores por categoria de gasto e por ano (57a leg.)
 ano_dados | posicao |                         categoria                         |                                    fornecedor                                    | qtd_lancamentos | total_pago  
      2025 |       5 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO 303 NORTE                                                             |             901 |   197658.07
      2025 |       1 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | FACEBOOK ONLINE BRASIL                                                           |             557 |  2186723.06
      2025 |       2 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | FACEBOOK ONLINE BRASIL                                                           |             329 |  1064973.20
      2025 |       3 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | ELDORADO COMUNICACAO JORNALISMO                                                  |             145 |   772728.57
      2025 |       4 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | WORKING ASSOCIACAO INTEGRACAO PROFISSIONAL                                       |              64 |   759030.00
      2025 |       5 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | MAIS PROPAGANDA                                                                  |              23 |   507572.50
      2025 |       1 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SERVIA O NACIONAL APREND                                                         |            1091 |    75645.79
      2025 |       2 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | NACIONAL APREND                                                                  |             280 |    20602.00
      2025 |       3 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SUL RESTAURANTE                                                                  |             239 |    14636.95
      2025 |       4 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | TAIOBA SELF SERVICE                                                              |             408 |    13142.62
      2025 |       5 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | RESTAURANTE MINAS                                                                |             116 |     7255.67
      2025 |       1 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | HCC HOTELS GESTAO HOTELEIRA                                                      |              35 |    58153.85
      2025 |       2 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | PAIAGUAS HOTEIS                                                                  |              46 |    53963.36
      2025 |       3 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | VILA GALE BRASIL ATIVIDADES HOTELEIRAS                                           |               8 |    46131.36
      2025 |       4 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | SEZONILDE RAMERY LOPES                                                           |              37 |    37573.98
      2025 |       5 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | ATLANTICA HOTELS INTERNACIONAL BRASIL                                            |              40 |    33245.76
      2025 |       1 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | CTA CLEITON TAXI AEREO                                                           |              15 |   369650.00
      2025 |       2 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | TAXI AEREO VALE MADEIRA                                                          |              12 |   344850.00
      2025 |       3 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | HEISS TAXI AEREO                                                                 |              14 |   275400.00
      2025 |       4 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | HAR AUXILIARES AO TRANSPORTE AEREO                                               |               5 |   205000.00
      2025 |       5 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | AMAZONAVES TAXI AEREO                                                            |              10 |   190150.00
      2025 |       1 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | JUNIO CESAR CARDOSO                                                              |              30 |   180000.00
      2025 |       2 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | EDENILTON LIMA PEREIRA                                                           |              11 |    45900.00
      2025 |       3 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | OZEAS AMORAS MACIEL                                                              |               1 |     5000.00
      2025 |       4 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | MARIA MARLI PINHEIRO OLIVEIRA                                                    |               1 |     4800.00
      2025 |       5 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | CAMILA NAVEGACAO TRANSPORTES                                                     |               1 |      168.00
      2025 |       1 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | PANTANAL VEICULOS                                                                |             713 |  3142114.77
      2025 |       2 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | HPE AUTOMOTORES BRASIL                                                           |             165 |  1447612.19
      2025 |       3 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | SUPREMA MOBILIDADE                                                               |             253 |  1419538.37
      2025 |       4 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | VIA LOCADORA AUTOMOVEIS                                                          |             188 |  1005818.19
      2025 |       5 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | NOVACAR LOCADORA VEICULOS                                                        |             158 |   893743.33
      2025 |       1 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | WMS ARTIGOS PAPELARIA                                                            |             743 |   481000.85
      2025 |       2 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | AMORETTO CAFES EXPRESSO                                                          |             539 |   408755.77
      2025 |       3 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | BROAD BRASIL                                                                     |             386 |   348558.00
      2025 |       4 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | N P IMOVEIS                                                                      |              98 |   296183.80
      2025 |       5 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | TELEMAXIMO SISTEMAS CONSULTORIA                                                  |              20 |   254540.11
      2025 |       1 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | PP CHIARETTI ENSINO IDIOMAS                                                      |               3 |     9200.00
      2025 |       2 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | SMA PRODUCOES                                                                    |               1 |     9145.61
      2025 |       3 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | ABOVE BEYOND                                                                     |               1 |     4542.65
      2025 |       4 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | MARIA OLGA CURADO COMUNICADO                                                     |               1 |     4445.00
      2025 |       5 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | ASSOCIACAO INTERNACIONAL CHEFES POLICIA IACP                                     |               1 |     2446.43
      2025 |       1 | PASSAGEM AÉREA - REEMBOLSO                                | LATAM LINHAS AEREAS                                                              |             150 |   412875.36
      2025 |       2 | PASSAGEM AÉREA - REEMBOLSO                                | GOL LINHAS AEREAS                                                                |              60 |   138103.67
      2025 |       3 | PASSAGEM AÉREA - REEMBOLSO                                | AZUL LINHAS AEREAS BRASILEIRAS                                                   |              33 |    72099.66
      2025 |       4 | PASSAGEM AÉREA - REEMBOLSO                                | LATAM                                                                            |               5 |    52735.51
      2025 |       5 | PASSAGEM AÉREA - REEMBOLSO                                | AZUL LINHAS AEREAS INTELIGENTES                                                  |              17 |    42019.61
      2025 |       1 | PASSAGEM AÉREA - RPA                                      | CIA AEREA TAM                                                                    |             230 |   438584.62
      2025 |       2 | PASSAGEM AÉREA - RPA                                      | CIA AEREA AZUL                                                                   |             186 |   179835.35
      2025 |       3 | PASSAGEM AÉREA - RPA                                      | CIA AEREA GOL                                                                    |             103 |   133399.57
      2025 |       1 | PASSAGEM AÉREA - SIGEPA                                   | TAM                                                                              |           19981 | 22878853.35
      2025 |       2 | PASSAGEM AÉREA - SIGEPA                                   | GOL                                                                              |            5308 |  7053684.29
      2025 |       3 | PASSAGEM AÉREA - SIGEPA                                   | AZUL                                                                             |            4762 |  5333548.08
      2025 |       1 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | VIACAO OURO PRATA                                                                |              81 |    25156.99
      2025 |       2 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | INTERNACIONAL TRAVESSIAS SALVADOR                                                |             161 |    18038.54
      2025 |       3 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | EMPRESA GONTIJO TRANSPORTES                                                      |              61 |    17525.10
      2025 |       4 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | PLANALTO TRANSPORTES                                                             |              60 |    10637.25
      2025 |       5 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | AGUIAR LOCACAO TURISMO                                                           |              19 |     6170.40
      2025 |       1 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SERVFAZ SEGURANCA                                                                |              24 |   207930.00
      2025 |       2 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | BRASAO VIGILANCIA SEGURANCA                                                      |              12 |   104400.00
      2025 |       2 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | IMPERIO SECURITY VILANCIA PATRIMONIAL                                            |              12 |   104400.00
      2025 |       4 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SATURNO LIMPEZA CONSERVACAO A EDIFICIOS                                          |              12 |    96000.00
      2025 |       5 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | GGS SOCIEDADE UNIPESSOAL                                                         |              11 |    91317.49
      2025 |       1 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SEM PARAR INSTITUICAO PAGAMENTO                                                  |             695 |   381283.06
      2025 |       2 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | UBER BRASIL TECNOLOGIA                                                           |           10265 |   330783.66
      2025 |       3 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SINPETAXI                                                                        |             815 |    55065.74
      2025 |       4 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | ASSOCIACAO TAXISTAS DISTRITO FEDERAL                                             |             691 |    39523.83
      2025 |       5 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | TAXI LEGAL                                                                       |             347 |    21492.05
      2025 |       1 | SERVIÇOS POSTAIS                                          | EMPRESA BRASILEIRA CORREIOS TELEGRAFOS                                           |             108 |    34501.46
      2025 |       2 | SERVIÇOS POSTAIS                                          | SILVA TEIXEIRA                                                                   |               1 |    14224.00
      2025 |       3 | SERVIÇOS POSTAIS                                          | ECT EMP BRAS CORREIOS TELEGRAFOS                                                 |               4 |    11333.64
      2025 |       4 | SERVIÇOS POSTAIS                                          | ECT EMP BRAS CORREIOS TELEGRAFOS                                                 |               1 |    10497.50
      2025 |       5 | SERVIÇOS POSTAIS                                          | ECT                                                                              |               4 |     7029.60
      2025 |       1 | TELEFONIA                                                 | CELULAR FUNCIONAL                                                                |            3333 |   808218.01
      2025 |       2 | TELEFONIA                                                 | TELEFONICA BRASIL VIVO                                                           |             888 |   471411.00
      2025 |       3 | TELEFONIA                                                 | VIVO TELEFONIA BRASIL                                                            |             382 |   198627.25
      2025 |       4 | TELEFONIA                                                 | CLARO NXT TELECOMUNICACOES                                                       |            1053 |   193243.98
      2025 |       5 | TELEFONIA                                                 | TELEFONICA BRASIL VIVO                                                           |             321 |   165937.06
      2026 |       1 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | META CERTIFICADO DIGITAL                                                         |               1 |      380.00
      2026 |       2 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | POSTO ORLANDI COMBUSTIVEIS DERIVADOS                                             |               1 |      266.80
      2026 |       3 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | CERTDATA INFORMACAO                                                              |               1 |      149.00
      2026 |       4 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | DC FAST SERVICE CONSULTORIA EMPRESARIAL                                          |               1 |      130.00
      2026 |       1 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES LOGISTICA                                                              |               7 |    12959.60
      2026 |       2 | ASSINATURA DE PUBLICAÇÕES                                 | RBS ZERO HORA EDITORA JORNALISTICA                                               |              30 |     3935.62
      2026 |       3 | ASSINATURA DE PUBLICAÇÕES                                 | O ESTADO S PAULO                                                                 |               7 |     1876.00
      2026 |       4 | ASSINATURA DE PUBLICAÇÕES                                 | EMPRESA FOLHA MANHA                                                              |               7 |     1347.10
      2026 |       5 | ASSINATURA DE PUBLICAÇÕES                                 | EMPRESA FOLHA MANHA                                                              |               1 |     1256.90
      2026 |       1 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO CINCO ESTRELAS                                                        |             545 |   114821.76
      2026 |       2 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 031 302 NORTE CASCOL COMBUSTIVEIS PARA VEICULOS                                  |             400 |    91239.14
      2026 |       3 | COMBUSTÍVEIS E LUBRIFICANTES.                             | MACTRA COMBUSTIVEIS LUBRIFICANTES                                                |              25 |    88263.31
      2026 |       4 | COMBUSTÍVEIS E LUBRIFICANTES.                             | LORENA PRODUTOS PETROLEO 000557                                                  |              10 |    82500.17
      2026 |       5 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 063 311 SUL CASCOL COMBUSTIVEIS PARA VEICULOS                                    |             337 |    73884.21
      2026 |       1 | CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.             | ISIS R V MARTINS                                                                 |               1 |     7000.00
      2026 |       1 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | FACEBOOK ONLINE BRASIL                                                           |             292 |  1341251.88
      2026 |       2 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | ELDORADO COMUNICACAO JORNALISMO                                                  |              60 |   391100.00
      2026 |       3 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | FRAME COMUNICACAO DIGITAL                                                        |              14 |   263731.63
      2026 |       4 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | EVAG COMUNICACAO TECNOLOGIA                                                      |              29 |   255909.70
      2026 |       5 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | A LIMA CARDOSO                                                                   |              14 |   210786.80
      2026 |       1 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | NACIONAL APREND                                                                  |             355 |    26617.86
      2026 |       2 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SUL RESTAURANTE                                                                  |              69 |     4105.31
      2026 |       3 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | TAIOBA SELF SERVICE                                                              |              96 |     3389.21
      2026 |       4 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | GM RESTAURANTE                                                                   |              11 |     2287.79
      2026 |       5 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | RESTAURANTE MINAS                                                                |              37 |     2283.88
      2026 |       1 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | PAIAGUAS HOTEIS                                                                  |              23 |    38561.61
      2026 |       2 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | ATLANTICA HOTELS INTERNACIONAL BRASIL                                            |              28 |    25747.28
      2026 |       3 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | HOTEL CURITIBA CAPITAL                                                           |               9 |    19982.75
      2026 |       4 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | GERALDO ROCHA TEIXEIRA                                                           |              13 |    18995.00
      2026 |       5 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | IMIGRANTES HOTEL                                                                 |              18 |    14563.03
      2026 |       1 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | CTA CLEITON TAXI AEREO                                                           |              12 |   366400.00
      2026 |       2 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | TAXI AEREO VALE MADEIRA                                                          |               5 |   200000.00
      2026 |       3 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | HEISS TAXI AEREO                                                                 |               6 |   156000.00
      2026 |       4 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | AMAZONAVES TAXI AEREO                                                            |               3 |   143758.00
      2026 |       5 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | VOEJA TAXI AEREO                                                                 |               2 |   108675.00
      2026 |       1 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | JUNIO CESAR CARDOSO                                                              |               7 |    42000.00
      2026 |       2 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | OZEAS AMORAS MACIEL                                                              |               4 |    20000.00
      2026 |       3 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | EDENILTON LIMA PEREIRA                                                           |               4 |    19600.00
      2026 |       1 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | PANTANAL VEICULOS                                                                |             210 |  1010450.31
      2026 |       2 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | NOVACAR LOCADORA VEICULOS                                                        |              96 |   617699.80
      2026 |       3 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | HPE AUTOMOTORES BRASIL                                                           |              45 |   472782.00
      2026 |       4 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | SUPREMA MOBILIDADE                                                               |              66 |   397930.00
      2026 |       5 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | PONTA LOCACAO VEICULOS                                                           |              32 |   261150.00
      2026 |       1 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | WMS ARTIGOS PAPELARIA                                                            |             271 |   157098.00
      2026 |       2 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | AMORETTO CAFES EXPRESSO                                                          |             191 |   156246.73
      2026 |       3 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | BROAD BRASIL                                                                     |             147 |   133673.00
      2026 |       4 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | TELEMAXIMO SISTEMAS CONSULTORIA                                                  |               8 |   111969.20
      2026 |       5 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | N P IMOVEIS                                                                      |              34 |   110352.88
      2026 |       1 | PASSAGEM AÉREA - REEMBOLSO                                | LATAM LINHAS AEREAS                                                              |              60 |   167004.07
      2026 |       2 | PASSAGEM AÉREA - REEMBOLSO                                | GOL LINHAS AEREAS                                                                |              15 |    40843.49
      2026 |       3 | PASSAGEM AÉREA - REEMBOLSO                                | AZUL LINHAS AEREAS BRASILEIRAS                                                   |              13 |    28293.99
      2026 |       4 | PASSAGEM AÉREA - REEMBOLSO                                | LATAM AIRLINES                                                                   |               7 |    14759.78
      2026 |       5 | PASSAGEM AÉREA - REEMBOLSO                                | TAM LINHAS AEREAS                                                                |               1 |    13121.70
      2026 |       1 | PASSAGEM AÉREA - RPA                                      | CIA AEREA TAM                                                                    |              49 |    82659.95
      2026 |       2 | PASSAGEM AÉREA - RPA                                      | CIA AEREA AZUL                                                                   |              43 |    35222.36
      2026 |       3 | PASSAGEM AÉREA - RPA                                      | CIA AEREA GOL                                                                    |               5 |    17165.31
      2026 |       1 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | EMPRESA GONTIJO TRANSPORTES                                                      |              32 |    10958.43
      2026 |       2 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | VIACAO OURO PRATA                                                                |              32 |     9364.65
      2026 |       3 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | VIACAO GARCIA                                                                    |              28 |     7168.06
      2026 |       4 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | PLANALTO TRANSPORTES                                                             |              30 |     6304.90
      2026 |       5 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | INTERNACIONAL TRAVESSIAS SALVADOR                                                |              32 |     3820.41
      2026 |       1 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SERVFAZ SEGURANCA                                                                |               8 |    64425.98
      2026 |       2 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | IMPACTO SEGURANCA                                                                |               5 |    43500.00
      2026 |       3 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | GGS SOCIEDADE UNIPESSOAL                                                         |               5 |    42500.00
      2026 |       4 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SATURNO LIMPEZA CONSERVACAO A EDIFICIOS                                          |               5 |    40000.00
      2026 |       5 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | ATENTE SEGURANCA                                                                 |               4 |    34800.00
      2026 |       5 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | BRASAO VIGILANCIA SEGURANCA                                                      |               4 |    34800.00
      2026 |       5 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | IMPERIO SECURITY VILANCIA PATRIMONIAL                                            |               4 |    34800.00
      2026 |       1 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SEM PARAR INSTITUICAO PAGAMENTO                                                  |             232 |   123252.01
      2026 |       2 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | UBER BRASIL TECNOLOGIA                                                           |            2814 |   102955.57
      2026 |       3 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SINPETAXI                                                                        |             381 |    26621.55
      2026 |       4 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | ASSOCIACAO TAXISTAS DISTRITO FEDERAL                                             |             244 |    12106.03
      2026 |       5 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | COOPERTAXI 202 NORTE                                                             |              31 |    10886.00
      2026 |       1 | SERVIÇOS POSTAIS                                          | EMPRESA BRASILEIRA CORREIOS TELEGRAFOS                                           |              82 |    26793.13
      2026 |       2 | SERVIÇOS POSTAIS                                          | ECT EMP BRAS CORREIOS TELEGRAFOS                                                 |               3 |    14427.90
      2026 |       3 | SERVIÇOS POSTAIS                                          | ECT EMP BRAS CORREIOS TELEGRAFOS                                                 |               4 |    11052.10
      2026 |       4 | SERVIÇOS POSTAIS                                          | EMPRESA BRASILEIRA CORREIOS TELEGRAFOS                                           |               3 |     6120.44
      2026 |       5 | SERVIÇOS POSTAIS                                          | ECT EMP BRAS CORREIOS TELEGRAFOS AGENCIA GUTIERREZ                               |               6 |     4712.35
      2026 |       1 | TELEFONIA                                                 | TELEFONICA BRASIL VIVO                                                           |             184 |    97921.07
      2026 |       2 | TELEFONIA                                                 | TELEFONICA BRASIL VIVO                                                           |             154 |    89187.92
      2026 |       3 | TELEFONIA                                                 | CELULAR FUNCIONAL                                                                |             361 |    78586.11
      2026 |       4 | TELEFONIA                                                 | TELEFONICA BRASIL VIVO                                                           |             142 |    73178.14
      2026 |       5 | TELEFONIA                                                 | CLARO NXT TELECOMUNICACOES                                                       |             300 |    56093.50
(346 rows)

