Q7 - ranking de custo-beneficio por deputado
Resumo executivo
 ano_dados | deputados_com_gasto | media_beneficio | maior_beneficio 
-----------+---------------------+-----------------+-----------------
      2023 |                 561 |          455.69 |         4712.50
      2024 |                 575 |          254.29 |         6949.20
      2025 |                 562 |          391.08 |        12292.90
      2026 |                 552 |           96.45 |         2516.20
(4 rows)


Tabela principal - top 30 por custo-beneficio
 ano_dados | id_deputado |           nome           | sigla_uf | sigla_partido | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio |    custo_beneficio     
 GLOBAL    |      178985 | Miguel Lombardi                     | SP       | PL            |  1122207.88 |             240 |                     1 |            721 |     468.1 |     0.00041712414281033208
 GLOBAL    |      143632 | Domingos Neto                       | CE       | PSD           |  1823811.31 |             425 |                     2 |            490 |     758.5 |     0.00041588732115056354
 GLOBAL    |      220532 | Rafael Prudente                     | DF       | MDB           |  1369455.69 |             303 |                     2 |            429 |     569.4 |     0.00041578563231936332
 GLOBAL    |      178997 | Moses Rodrigues                     | CE       | UNIAO         |  1881745.04 |             457 |                     1 |            605 |     782.0 |     0.00041557170784411899
 GLOBAL    |      220671 | Dilvanda Faro                       | PA       | PT            |  1769654.02 |             427 |                     1 |            577 |     734.2 |     0.00041488335669138310
 GLOBAL    |      204356 | Amaro Neto                          | ES       | PP            |  1652702.10 |             367 |                     2 |            601 |     682.6 |     0.00041302059215632388
 GLOBAL    |      220714 | Adail Filho                         | AM       | MDB           |  1930296.29 |             491 |                     0 |            548 |     791.3 |     0.00040993706722608890
 GLOBAL    |      220570 | Dr. Ismael Alexandrino              | GO       | PSD           |  1580749.02 |             351 |                     1 |            825 |     645.0 |     0.00040803441396408394
 GLOBAL    |      204355 | Da Vitoria                          | ES       | PP            |  1597973.00 |             379 |                     1 |            452 |     649.7 |     0.00040657758297543200
 GLOBAL    |      220672 | Henderson Pinto                     | PA       | UNIAO         |  1802910.78 |             416 |                     1 |            705 |     730.5 |     0.00040517811979581153
 GLOBAL    |       74161 | Reginaldo Lopes                     | MG       | PT            |  1400829.65 |             292 |                     2 |            568 |     566.8 |     0.00040461736371727997
 GLOBAL    |      204396 | Vermelho                            | PR       | PL            |  1774169.48 |             411 |                     1 |            648 |     717.3 |     0.00040430184832172854
 GLOBAL    |      220652 | Delegado Palumbo                    | SP       | PODE          |  1580046.71 |             361 |                     1 |            613 |     638.8 |     0.00040429184527082747
 GLOBAL    |      162332 | Luiz Nishimori                      | PR       | PSD           |  1691088.78 |             421 |                     0 |            506 |     682.1 |     0.00040334961006600730
 GLOBAL    |      204449 | Nelson Barbudo                      | MT       | PODE          |  1021603.38 |             261 |                     0 |            200 |     411.5 |     0.00040279819747659801
 GLOBAL    |      178966 | Geovania de Sá                      | SC       | REPUBLICANOS  |  1323538.82 |             305 |                     0 |            742 |     531.7 |     0.00040172603324169970
 GLOBAL    |      228837 | Juliana Kolankiewicz                | MT       | MDB           |   131844.31 |              31 |                     0 |             63 |      52.8 |     0.00040047234499539646
 GLOBAL    |      204457 | Juninho do Pneu                     | RJ       | PSDB          |  1682517.62 |             411 |                     0 |            572 |     673.7 |     0.00040041185423068556
 GLOBAL    |      198783 | Emanuel Pinheiro Neto               | MT       | PSD           |  1553352.79 |             325 |                     2 |            617 |     621.2 |     0.00039990915392761486
 GLOBAL    |      204570 | Pastor Gil                          | MA       | PL            |  1457579.02 |             341 |                     0 |            644 |     575.9 |     0.00039510722375792703
 GLOBAL    |      162067 | Kiko Celeguim                       | SP       | PT            |  1746970.01 |             410 |                     0 |            653 |     680.3 |     0.00038941710281563448
 GLOBAL    |      160600 | Arthur Oliveira Maia                | BA       | UNIAO         |  1732355.24 |             413 |                     0 |            487 |     668.2 |     0.00038571765453833822
 GLOBAL    |      204456 | Gutemberg Reis                      | RJ       | MDB           |  1398139.43 |             277 |                     2 |            496 |     537.1 |     0.00038415338876466705
 GLOBAL    |      204533 | Idilvan Alencar                     | CE       | PSB           |  1012722.86 |             238 |                     0 |            307 |     387.7 |     0.00038282931620601514
 GLOBAL    |       73604 | Rui Falcão                          | SP       | PT            |  1384402.62 |             317 |                     0 |            514 |     526.9 |     0.00038059737274984354
 GLOBAL    |      204453 | Natália Bonavides                   | RN       | PT            |  1857159.17 |             414 |                     1 |            494 |     706.4 |     0.00038036588969377353
 GLOBAL    |       74273 | Jefferson Campos                    | SP       | PL            |  1579115.78 |             340 |                     1 |            544 |     600.4 |     0.00038021277958478763
 GLOBAL    |      204364 | Eli Borges                          | TO       | REPUBLICANOS  |  1516034.53 |             343 |                     0 |            599 |     574.4 |     0.00037888319074104466
 GLOBAL    |      220620 | Rosângela Reis                      | MG       | PL            |  1667155.17 |             355 |                     1 |            623 |     630.8 |     0.00037836909926026862
 GLOBAL    |      228797 | Júlio Oliveira                      | TO       | PP            |   136758.01 |              30 |                     0 |             66 |      51.6 |     0.00037730879529469608
 GLOBAL    |       74299 | Leônidas Cristino                   | CE       | PDT           |  1090308.60 |             227 |                     0 |            687 |     409.2 |     0.00037530658751109548
 GLOBAL    |      160510 | Luis Tibé                           | MG       | AVANTE        |  1153034.71 |             199 |                     3 |            252 |     431.7 |     0.00037440329961966193
 GLOBAL    |      109429 | Benes Leocádio                      | RN       | UNIAO         |  1749982.61 |             391 |                     0 |            663 |     652.8 |     0.00037303227830361126
 GLOBAL    |      231911 | Lenir de Assis                      | PR       | PT            |   484733.80 |             106 |                     0 |            216 |     180.6 |     0.00037257562810763351
 GLOBAL    |      226410 | Márcio Correa                       | GO       | MDB           |   128836.37 |              25 |                     0 |            105 |      48.0 |     0.00037256560395174127
 GLOBAL    |      160545 | Alexandre Leite                     | SP       | UNIAO         |   625113.17 |             134 |                     0 |            317 |     232.7 |     0.00037225259547803160
 GLOBAL    |      220702 | Geraldo Mendes                      | PR       | UNIAO         |  1492015.45 |             340 |                     0 |            453 |     555.3 |     0.00037218113257473306
 GLOBAL    |      220688 | Dr. Francisco                       | PI       | PT            |  1847164.35 |             384 |                     1 |            740 |     686.0 |     0.00037138005613848059
 GLOBAL    |      220693 | Roberta Roma                        | BA       | PL            |  1713544.27 |             355 |                     1 |            652 |     633.7 |     0.00036981828313078833
 GLOBAL    |      220660 | Yury do Paredão                     | CE       | MDB           |  1328492.04 |             274 |                     1 |            442 |     491.2 |     0.00036974252401241335
