id_deputado;tema;qtd_proposicoes
123086;Finanças Públicas e Orçamento;11
123086;Processo Legislativo e Atuação Parlamentar;10
123086;Administração Pública;8
123086;Defesa e Segurança;7
123086;Direito Constitucional;6
123086;Direitos Humanos e Minorias;6
123086;Direito Penal e Processual Penal;5
123086;Direito e Defesa do Consumidor;5
123086;Educação;5
123086;Direito e Justiça;4
123086;Trabalho e Emprego;4
123086;Energia, Recursos Hídricos e Minerais;3
123086;Indústria, Comércio e Serviços;3
123086;Arte, Cultura e Religião;2
123086;Esporte e Lazer;2
123086;Política, Partidos e Eleições;2
123086;Saúde;2
123086;Viação, Transporte e Mobilidade;2
123086;Agricultura, Pecuária, Pesca e Extrativismo;1
123086;Estrutura Fundiária;1
123086;Homenagens e Datas Comemorativas;1
123086;Meio Ambiente e Desenvolvimento Sustentável;1
123086;Previdência e Assistência Social;1
123756;Cidades e Desenvolvimento Urbano;96
123756;Direitos Humanos e Minorias;88
123756;Finanças Públicas e Orçamento;84
123756;Educação;82
123756;Saúde;82
123756;Economia;63
123756;Defesa e Segurança;56
123756;Previdência e Assistência Social;47
123756;Agricultura, Pecuária, Pesca e Extrativismo;45
123756;Administração Pública;38
123756;Trabalho e Emprego;34
123756;Comunicações;29
123756;Indústria, Comércio e Serviços;28
123756;Arte, Cultura e Religião;24
123756;Estrutura Fundiária;24
123756;Ciência, Tecnologia e Inovação;23
123756;Energia, Recursos Hídricos e Minerais;22
123756;Processo Legislativo e Atuação Parlamentar;11
123756;Direito Constitucional;8
123756;Direito e Justiça;8
123756;Meio Ambiente e Desenvolvimento Sustentável;8
123756;Direito Penal e Processual Penal;3
123756;Direito e Defesa do Consumidor;3
123756;Homenagens e Datas Comemorativas;2
123756;Esporte e Lazer;1
123756;Relações Internacionais e Comércio Exterior;1
128760;Direitos Humanos e Minorias;4
128760;Direito Penal e Processual Penal;3
128760;Administração Pública;2
128760;Finanças Públicas e Orçamento;2
128760;Direito e Defesa do Consumidor;1
128760;Educação;1
128760;Energia, Recursos Hídricos e Minerais;1
128760;Meio Ambiente e Desenvolvimento Sustentável;1
128760;Previdência e Assistência Social;1
128760;Processo Legislativo e Atuação Parlamentar;1
128760;Viação, Transporte e Mobilidade;1
129618;Defesa e Segurança;2
129618;Direitos Humanos e Minorias;2
129618;Administração Pública;1
129618;Direito Penal e Processual Penal;1
129618;Indústria, Comércio e Serviços;1
129618;Relações Internacionais e Comércio Exterior;1
132504;Homenagens e Datas Comemorativas;1
133439;Finanças Públicas e Orçamento;28
133439;Administração Pública;22
133439;Economia;14
133439;Processo Legislativo e Atuação Parlamentar;13
133439;Direitos Humanos e Minorias;11
133439;Indústria, Comércio e Serviços;11
133439;Homenagens e Datas Comemorativas;9
133439;Saúde;9
133439;Trabalho e Emprego;8
133439;Arte, Cultura e Religião;7
133439;Educação;7
133439;Viação, Transporte e Mobilidade;7
133439;Direito Constitucional;6
133439;Direito e Defesa do Consumidor;6
133439;Defesa e Segurança;5
133439;Meio Ambiente e Desenvolvimento Sustentável;5
133439;Cidades e Desenvolvimento Urbano;4
133439;Comunicações;4
133439;Direito e Justiça;4
133439;Energia, Recursos Hídricos e Minerais;4
133439;Esporte e Lazer;4
133439;Ciência, Tecnologia e Inovação;3
133439;Previdência e Assistência Social;3
133439;Relações Internacionais e Comércio Exterior;3
133439;Turismo;3
133439;Agricultura, Pecuária, Pesca e Extrativismo;2
133439;Direito Civil e Processual Civil;2
133439;Política, Partidos e Eleições;2
133439;Direito Penal e Processual Penal;1
133810;Administração Pública;15
133810;Finanças Públicas e Orçamento;15
133810;Processo Legislativo e Atuação Parlamentar;14
133810;Direitos Humanos e Minorias;13
133810;Direito Constitucional;9
133810;Defesa e Segurança;8
133810;Direito Penal e Processual Penal;8
133810;Trabalho e Emprego;7
133810;Meio Ambiente e Desenvolvimento Sustentável;6
133810;Saúde;6
133810;Economia;5
133810;Agricultura, Pecuária, Pesca e Extrativismo;4
133810;Comunicações;4
133810;Indústria, Comércio e Serviços;4
133810;Política, Partidos e Eleições;4
133810;Cidades e Desenvolvimento Urbano;3
133810;Direito e Justiça;3
133810;Relações Internacionais e Comércio Exterior;3
133810;Estrutura Fundiária;2
133810;Previdência e Assistência Social;2
133810;Viação, Transporte e Mobilidade;2
133810;Arte, Cultura e Religião;1
133810;Direito e Defesa do Consumidor;1
136811;Finanças Públicas e Orçamento;23
136811;Administração Pública;13
136811;Meio Ambiente e Desenvolvimento Sustentável;13
136811;Direitos Humanos e Minorias;12
136811;Processo Legislativo e Atuação Parlamentar;12
136811;Agricultura, Pecuária, Pesca e Extrativismo;10
136811;Economia;9
136811;Trabalho e Emprego;9
136811;Previdência e Assistência Social;8
136811;Cidades e Desenvolvimento Urbano;7
136811;Defesa e Segurança;7
136811;Direito Constitucional;7
136811;Saúde;7
136811;Viação, Transporte e Mobilidade;7
136811;Indústria, Comércio e Serviços;6
136811;Direito Penal e Processual Penal;5
136811;Energia, Recursos Hídricos e Minerais;4
136811;Homenagens e Datas Comemorativas;4
136811;Direito e Justiça;3
136811;Direito Civil e Processual Civil;2
136811;Direito e Defesa do Consumidor;2
136811;Educação;2
136811;Estrutura Fundiária;2
136811;Política, Partidos e Eleições;2
136811;Relações Internacionais e Comércio Exterior;2
136811;Arte, Cultura e Religião;1
136811;Comunicações;1
136811;Turismo;1
137070;Finanças Públicas e Orçamento;26
137070;Administração Pública;19
137070;Direitos Humanos e Minorias;17
137070;Defesa e Segurança;12
137070;Processo Legislativo e Atuação Parlamentar;12
137070;Saúde;11
137070;Meio Ambiente e Desenvolvimento Sustentável;9
137070;Trabalho e Emprego;9
137070;Direito Penal e Processual Penal;8
137070;Economia;7
137070;Indústria, Comércio e Serviços;7
137070;Previdência e Assistência Social;7
137070;Viação, Transporte e Mobilidade;7
137070;Agricultura, Pecuária, Pesca e Extrativismo;5
137070;Direito e Defesa do Consumidor;5
137070;Energia, Recursos Hídricos e Minerais;5
137070;Esporte e Lazer;5
137070;Relações Internacionais e Comércio Exterior;5
137070;Arte, Cultura e Religião;4
137070;Comunicações;4
137070;Direito Constitucional;4
137070;Estrutura Fundiária;4
137070;Educação;3
137070;Homenagens e Datas Comemorativas;3
137070;Política, Partidos e Eleições;3
137070;Cidades e Desenvolvimento Urbano;2
137070;Ciência, Tecnologia e Inovação;2
