idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
2162116-161;160527;Não;Aguinaldo Ribeiro;PP;PB
2162116-161;204495;Não;Airton Faleiro;PT;PA
2162116-161;204549;Não;AJ Albuquerque;PP;CE
2162116-161;73579;Não;Alberto Fraga;PL;DF
2162116-161;220538;Não;Albuquerque;REPUBLICANOS;RR
2162116-161;160559;Não;Alceu Moreira;MDB;RS
2162116-161;204501;Não;Alencar Santana;PT;SP
2162116-161;178972;Não;Alex Manente;CIDADANIA;SP
2162116-161;220542;Não;Alexandre Guimarães;MDB;TO
2162116-161;160545;Não;Alexandre Leite;UNIÃO;SP
2162116-161;220554;Não;Alexandre Lindenmeyer;PT;RS
2162116-161;221148;Não;Alfredinho;PT;SP
2162116-161;74057;Não;Alice Portugal;PCDOB;BA
2162116-161;178927;Não;Aliel Machado;PV;PR
2162116-161;204353;Não;Aline Gurgel;REPUBLICANOS;AP
2162116-161;178937;Não;Altineu Côrtes;PL;RJ
2162116-161;178881;Não;Aluisio Mendes;REPUBLICANOS;MA
2162116-161;220707;Não;Amanda Gentil;PP;MA
2162116-161;204356;Não;Amaro Neto;PP;ES
2162116-161;220715;Não;Amom Mandel;CIDADANIA;AM
2162116-161;107970;Não;Ana Paula Leão;PP;MG
2162116-161;220556;Não;Ana Paula Lima;PT;SC
2162116-161;220632;Não;Ana Pimentel;PT;MG
2162116-161;178831;Não;André Abdon;PP;AP
2162116-161;220657;Não;André Fernandes;PL;CE
2162116-161;204423;Não;André Ferreira;PL;PE
2162116-161;133439;Não;André Figueiredo;PDT;CE
2162116-161;178882;Não;André Fufuca;PP;MA
2162116-161;204515;Não;André Janones;REDE;MG
2162116-161;220676;Não;Andreia Siqueira;PSB;PA
2162116-161;123756;Não;Antônia Lúcia;REPUBLICANOS;AC
2162116-161;220544;Não;Antonio Andrade;REPUBLICANOS;TO
2162116-161;160553;Não;Antonio Brito;PSD;BA
2162116-161;220638;Não;Antonio Carlos Rodrigues;PL;SP
2162116-161;220675;Não;Antônio Doido;MDB;PA
2162116-161;220549;Sim;Any Ortiz;CIDADANIA;RS
2162116-161;73433;Não;Arlindo Chinaglia;PT;SP
2162116-161;160600;Não;Arthur Oliveira Maia;UNIÃO;BA
2162116-161;74090;Não;Átila Lins;PSD;AM
2162116-161;123086;Não;Átila Lira;PP;PI
2162116-161;160665;Não;Augusto Coutinho;REPUBLICANOS;PE
2162116-161;160512;Não;Aureo Ribeiro;SOLIDARIEDADE;RJ
2162116-161;69871;Não;Bacelar;PV;BA
2162116-161;178975;Não;Baleia Rossi;MDB;SP
2162116-161;220605;Não;Bandeira de Mello;PV;RJ
2162116-161;220612;Não;Bebeto;PP;RJ
2162116-161;73701;Não;Benedita da Silva;PT;RJ
2162116-161;109429;Não;Benes Leocádio;UNIÃO;RN
2162116-161;204358;Não;Beto Pereira;PSDB;MS
2162116-161;220698;Não;Beto Preto;PSD;PR
2162116-161;220683;Não;Beto Richa;PSDB;PR
2162116-161;204374;Sim;Bia Kicis;PL;DF
2162116-161;204388;Não;Bibo Nunes;PL;RS
2162116-161;160538;Não;Bohn Gass;PT;RS
2162116-161;210989;Não;Bruno Farias;AVANTE;MG
2162116-161;220635;Não;Bruno Ganem;PODE;SP
2162116-161;220574;Sim;Cabo Gilberto Silva;PL;PB
2162116-161;220548;Não;Camila Jara;PT;MS
2162116-161;204572;Não;Capitão Alberto Neto;PL;AM
2162116-161;220690;Não;Capitão Alden;PL;BA
2162116-161;178829;Não;Capitão Augusto;PL;SP
2162116-161;213762;Não;Carla Dickson;UNIÃO;RN
2162116-161;178962;Não;Carlos Gomes;REPUBLICANOS;RS
2162116-161;178993;Não;Carlos Henrique Gaguim;UNIÃO;TO
2162116-161;204460;Sim;Carlos Jordy;PL;RJ
2162116-161;74262;Não;Carlos Sampaio;PSD;SP
2162116-161;204426;Não;Carlos Veras;PT;PE
2162116-161;141398;Não;Carlos Zarattini;PT;SP
2162116-161;220704;Não;Carol Dartora;PT;PR
2162116-161;220699;Não;Castro Neto;MDB;PI
2162116-161;206018;Não;Célia Xakriabá;PSOL;MG
2162116-161;178876;Não;Célio Silveira;MDB;GO
2162116-161;204488;Não;Célio Studart;PSD;CE
2162116-161;73441;Não;Celso Russomanno;REPUBLICANOS;SP
2162116-161;204496;Não;Celso Sabino;UNIÃO;PA
2162116-161;204504;Não;Cezinha de Madureira;PL;SP
2162116-161;205476;Não;Charles Fernandes;PSD;BA
2162116-161;74171;Não;Chico Alencar;PSOL;RJ
2162116-161;204462;Não;Chris Tonietto;PL;RJ
2162116-161;220665;Não;Clarissa Tércio;PP;PE
2162116-161;74537;Não;Claudio Cajado;PP;BA
2162116-161;141408;Não;Cleber Verde;MDB;MA
2162116-161;88256;Não;Clodoaldo Magalhães;PV;PE
2162116-161;98148;Não;Cobalchini;MDB;SC
2162116-161;220594;Não;Coronel Assis;PL;MT
2162116-161;204378;Sim;Coronel Chrisóstomo;PL;RO
2162116-161;220595;Não;Coronel Fernanda;PL;MT
2162116-161;220666;Não;Coronel Meira;PL;PE
2162116-161;220590;Sim;Coronel Ulysses;UNIÃO;AC
2162116-161;204355;Não;Da Vitoria;PP;ES
2162116-161;141411;Não;Dagoberto Nogueira;PSDB;MS
2162116-161;220555;Não;Daiana Santos;PCDOB;RS
2162116-161;220692;Não;Dal Barreto;UNIÃO;BA
2162116-161;74467;Não;Damião Feliciano;UNIÃO;PB
2162116-161;220629;Não;Dandara;PT;MG
2162116-161;220603;Não;Dani Cunha;PL;RJ
2162116-161;220571;Não;Daniel Agrobom;PL;GO
2162116-161;74060;Não;Daniel Almeida;PCDOB;BA
2162116-161;220582;Não;Daniel Barbosa;PP;AL
2162116-161;204367;Sim;Daniel Freitas;PL;SC
2162116-161;204409;Não;Daniel Trzeciak;PSDB;RS
2162116-161;204459;Não;Daniela do Waguinho;UNIÃO;RJ
2162116-161;220557;Não;Daniela Reinehr;PL;SC
2162116-161;62881;Não;Danilo Forte;PP;CE
2162116-161;160552;Não;Danrlei de Deus Hinterholz;PSD;RS
2162116-161;204511;Não;David Soares;PODE;SP
2162116-161;220539;Não;Defensor Stélio Dener;REPUBLICANOS;RR
2162116-161;220565;Não;Delegada Adriana Accorsi;PT;GO
2162116-161;220625;Não;Delegada Ione;AVANTE;MG
2162116-161;220561;Não;Delegada Katarina;PSD;SE
2162116-161;220642;Não;Delegado Bruno Lima;PODE;SP
2162116-161;220673;Sim;Delegado Caveira;PL;PA
2162116-161;220649;Não;Delegado da Cunha;PP;SP
2162116-161;178908;Não;Delegado Éder Mauro;PL;PA
2162116-161;220583;Não;Delegado Fabio Costa;PP;AL
2162116-161;204512;Não;Delegado Marcelo Freitas;UNIÃO;MG
2162116-161;220701;Não;Delegado Matheus Laiola;UNIÃO;PR
2162116-161;220652;Não;Delegado Palumbo;PODE;SP
2162116-161;220654;Não;Delegado Paulo Bilynskyj;PL;SP
2162116-161;220553;Não;Denise Pessôa;PT;RS
2162116-161;160588;Não;Diego Andrade;PSD;MG
2162116-161;220691;Não;Diego Coronel;REPUBLICANOS;BA
2162116-161;178929;Não;Diego Garcia;REPUBLICANOS;PR
2162116-161;73768;Não;Dilceu Sperafico;PP;PR
2162116-161;220671;Não;Dilvanda Faro;PT;PA
2162116-161;160599;Não;Dimas Fabiano;PP;MG
2162116-161;220602;Não;Dimas Gadelha;PT;RJ
2162116-161;143632;Não;Domingos Neto;PSD;CE
2162116-161;160758;Não;Domingos Sávio;PL;MG
