idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
2419128-78;220650;Não;Paulo Alexandre Barbosa;PSDB;SP
2419128-78;178860;Sim;Paulo Azi;UNIÃO;BA
2419128-78;160517;Não;Paulo Folletto;PSB;ES
2419128-78;160558;Sim;Paulo Freire Costa;PL;SP
2419128-78;204492;Não;Paulo Guedes;PT;MG
2419128-78;220685;Não;Paulo Litro;UNIÃO;PR
2419128-78;74574;Não;Paulo Magalhães;PSD;BA
2419128-78;128760;Sim;Paulo Marinho Jr;PL;MA
2419128-78;74400;Não;Paulo Pimenta;PT;RS
2419128-78;141488;Não;Paulo Teixeira;PT;SP
2419128-78;220630;Não;Pedro Aihara;PP;MG
2419128-78;220667;Não;Pedro Campos;PSB;PE
2419128-78;122974;Sim;Pedro Lucas Fernandes;UNIÃO;MA
2419128-78;204406;Não;Pedro Westphalen;PP;RS
2419128-78;161440;Sim;Pezenti;MDB;SC
2419128-78;73486;Sim;Pompeo de Mattos;PDT;RS
2419128-78;160601;Sim;Pr. Marco Feliciano;PL;SP
2419128-78;221338;Não;Professora Luciene Cavalcante;PSOL;SP
2419128-78;160641;Não;Professora Marcivania;PCDOB;AP
2419128-78;220586;Não;Rafael Brito;MDB;AL
2419128-78;220626;Sim;Rafael Simoes;UNIÃO;MG
2419128-78;74084;Sim;Raimundo Santos;PSD;PA
2419128-78;220606;Não;Reimont;PT;RJ
2419128-78;178989;Não;Renata Abreu;PODE;SP
2419128-78;153423;Não;Renilce Nicodemos;MDB;PA
2419128-78;73801;Não;Renildo Calheiros;PCDOB;PE
2419128-78;175765;Não;Ribamar Silva;PSD;SP
2419128-78;235088;Não;Ribeiro Neto;SOLIDARIEDADE;MA
2419128-78;221329;Não;Ricardo Abrão;PSDB;RJ
2419128-78;220543;Não;Ricardo Ayres;REPUBLICANOS;TO
2419128-78;73788;Não;Ricardo Barros;PP;PR
2419128-78;204362;Sim;Ricardo Guidi;PL;SC
2419128-78;220633;Sim;Ricardo Salles;NOVO;SP
2419128-78;204489;Não;Robério Monteiro;PSB;CE
2419128-78;220588;Sim;Roberto Duarte;REPUBLICANOS;AC
2419128-78;220613;Sim;Roberto Monteiro Pai;PL;RJ
2419128-78;220624;Não;Robinson Faria;PP;RN
2419128-78;220546;Sim;Rodolfo Nogueira;PL;MS
2419128-78;230767;Sim;Rodrigo da Zaeli;PL;MT
2419128-78;141531;Não;Rodrigo de Castro;UNIÃO;MG
2419128-78;220641;Não;Rodrigo Gambale;PODE;SP
2419128-78;141533;Não;Rodrigo Rollemberg;PSB;DF
2419128-78;165470;Sim;Rodrigo Valadares;PL;SE
2419128-78;220695;Não;Rogéria Santos;REPUBLICANOS;BA
2419128-78;204480;Não;Rogério Correia;PT;MG
2419128-78;160629;Não;Romero Rodrigues;PODE;PB
2419128-78;204525;Sim;Rosana Valle;PL;SP
2419128-78;220644;Sim;Rosangela Moro;PL;SP
2419128-78;220620;Sim;Rosângela Reis;PL;MG
2419128-78;74371;Não;Rubens Otoni;PT;GO
2419128-78;178887;Não;Rubens Pereira Júnior;PT;MA
2419128-78;73604;Não;Rui Falcão;PT;SP
2419128-78;160635;Não;Ruy Carneiro;PODE;PB
2419128-78;204535;Não;Sâmia Bomfim;PSOL;SP
2419128-78;220631;Sim;Samuel Viana;UNIÃO;MG
2419128-78;204416;Sim;Sanderson;PL;RS
2419128-78;160621;Não;Sandro Alex;PSD;PR
2419128-78;204387;Sim;Sargento Fahur;PL;PR
2419128-78;220621;Sim;Sargento Gonçalves;PL;RN
2419128-78;220618;Sim;Sargento Portugal;PODE;RJ
2419128-78;220713;Não;Saullo Vianna;MDB;AM
2419128-78;226837;Sim;Saulo Pedroso;PSD;SP
2419128-78;73808;Não;Sérgio Brito;PSD;BA
2419128-78;178933;Não;Sergio Souza;MDB;PR
2419128-78;235776;Sim;Sérgio Turra;PP;RS
2419128-78;204557;Não;Sidney Leite;PSD;AM
2419128-78;204360;Não;Silvia Cristina;PP;RO
2419128-78;227310;Sim;Silvio Antonio;PL;MA
2419128-78;204425;Não;Silvio Costa Filho;REPUBLICANOS;PE
2419128-78;104552;Não;Socorro Neri;PP;AC
2419128-78;220643;Não;Sônia Guajajara;PSOL;SP
2419128-78;178946;Sim;Soraya Santos;PL;RJ
2419128-78;178947;Sim;Sóstenes Cavalcante;PL;RJ
2419128-78;204534;Não;Tabata Amaral;PSB;SP
2419128-78;220598;Não;Tarcísio Motta;PSOL;RJ
2419128-78;220560;Sim;Thiago de Joaldo;REPUBLICANOS;SE
2419128-78;143084;Não;Tiago Dimas;PODE;TO
2419128-78;220684;Sim;Tião Medeiros;PP;PR
2419128-78;160976;Não;Tiririca;PSD;SP
2419128-78;178934;Não;Toninho Wandscheer;PP;PR
2419128-78;157130;Não;Túlio Gadêlha;PSD;PE
2419128-78;74376;Não;Vander Loubet;PT;MS
2419128-78;234673;Não;Vanderlan Alves;SOLIDARIEDADE;CE
2419128-78;235712;Não;Vavá;AVANTE;MG
2419128-78;137070;Não;Vicentinho Júnior;PSDB;TO
2419128-78;141555;Sim;Vinicius Carvalho;PL;SP
2419128-78;160591;Sim;Vinicius Gurgel;PL;AP
2419128-78;178992;Não;Vitor Lippi;PSD;SP
2419128-78;91228;Não;Waldemar Oliveira;AVANTE;PE
2419128-78;160569;Não;Waldenor Pereira;PT;BA
2419128-78;74043;Não;Wellington Roberto;PSD;PB
2419128-78;224333;Não;Welter;PT;PR
2419128-78;74044;Não;Wilson Santiago;REPUBLICANOS;PB
2419128-78;230768;Não;Zé Adriano;PP;AC
2419128-78;204559;Não;Zé Neto;PT;BA
2419128-78;160632;Não;Zé Silva;UNIÃO;MG
2419128-78;220558;Sim;Zé Trovão;PL;SC
2419128-78;220552;Sim;Zucco;PL;RS
2422887-23;204379;Não;Acácio Favacho;MDB;AP
2422887-23;220714;Não;Adail Filho;MDB;AM
2422887-23;221328;Não;Adilson Barroso;PL;SP
2422887-23;204560;Não;Adolfo Viana;PSDB;BA
2422887-23;204528;Não;Adriana Ventura;NOVO;SP
2422887-23;121948;Não;Adriano do Baldy;PP;GO
2422887-23;74646;Não;Aécio Neves;PSDB;MG
2422887-23;160508;Sim;Afonso Florence;PT;BA
2422887-23;136811;Não;Afonso Hamm;PP;RS
2422887-23;160527;Não;Aguinaldo Ribeiro;PP;PB
2422887-23;204495;Sim;Airton Faleiro;PT;PA
2422887-23;73579;Não;Alberto Fraga;PL;DF
2422887-23;220538;Não;Albuquerque;REPUBLICANOS;RR
2422887-23;160559;Não;Alceu Moreira;MDB;RS
2422887-23;204501;Sim;Alencar Santana;PT;SP
2422887-23;178972;Não;Alex Manente;CIDADANIA;SP
2422887-23;220542;Não;Alexandre Guimarães;MDB;TO
2422887-23;160545;Não;Alexandre Leite;UNIÃO;SP
2422887-23;220554;Sim;Alexandre Lindenmeyer;PT;RS
2422887-23;221148;Sim;Alfredinho;PT;SP
2422887-23;220576;Não;Alfredo Gaspar;PL;AL
2422887-23;74057;Sim;Alice Portugal;PCDOB;BA
2422887-23;178927;Sim;Aliel Machado;PV;PR
2422887-23;220707;Não;Amanda Gentil;PP;MA
2422887-23;204356;Não;Amaro Neto;PP;ES
2422887-23;107970;Não;Ana Paula Leão;PP;MG
2422887-23;220556;Sim;Ana Paula Lima;PT;SC
2422887-23;220632;Sim;Ana Pimentel;PT;MG
2422887-23;178831;Não;André Abdon;PP;AP
2422887-23;220657;Não;André Fernandes;PL;CE
2422887-23;133439;Sim;André Figueiredo;PDT;CE
2422887-23;178882;Não;André Fufuca;PP;MA
2422887-23;204515;Sim;André Janones;REDE;MG
2422887-23;220676;Sim;Andreia Siqueira;PSB;PA
2422887-23;123756;Não;Antônia Lúcia;MDB;AC
2422887-23;220544;Não;Antonio Andrade;PSDB;TO
2422887-23;220638;Não;Antonio Carlos Rodrigues;PODE;SP
2422887-23;220675;Não;Antônio Doido;MDB;PA
2422887-23;220549;Não;Any Ortiz;PP;RS
2422887-23;73433;Não;Arlindo Chinaglia;PT;SP
2422887-23;141391;Não;Arnaldo Jardim;CIDADANIA;SP
2422887-23;160665;Não;Augusto Coutinho;REPUBLICANOS;PE
2422887-23;160512;Não;Aureo Ribeiro;SOLIDARIEDADE;RJ
2422887-23;69871;Sim;Bacelar;PV;BA
2422887-23;178975;Não;Baleia Rossi;MDB;SP
2422887-23;220605;Sim;Bandeira de Mello;PV;RJ
2422887-23;220612;Não;Bebeto;PP;RJ
2422887-23;73701;Sim;Benedita da Silva;PT;RJ
2422887-23;109429;Não;Benes Leocádio;UNIÃO;RN
2422887-23;204358;Não;Beto Pereira;REPUBLICANOS;MS
2422887-23;220698;Não;Beto Preto;PSD;PR
2422887-23;220683;Não;Beto Richa;PSDB;PR
2422887-23;204374;Não;Bia Kicis;PL;DF
2422887-23;204388;Não;Bibo Nunes;PL;RS
2422887-23;160538;Sim;Bohn Gass;PT;RS
2422887-23;210989;Não;Bruno Farias;REPUBLICANOS;MG
2422887-23;220635;Não;Bruno Ganem;PODE;SP
2422887-23;220574;Não;Cabo Gilberto Silva;PL;PB
2422887-23;220548;Sim;Camila Jara;PT;MS
2422887-23;220690;Não;Capitão Alden;PL;BA
2422887-23;178829;Não;Capitão Augusto;PL;SP
2422887-23;178962;Não;Carlos Gomes;REPUBLICANOS;RS
2422887-23;178993;Não;Carlos Henrique Gaguim;UNIÃO;TO
2422887-23;74262;Não;Carlos Sampaio;PSD;SP
2422887-23;204426;Sim;Carlos Veras;PT;PE
2422887-23;141398;Sim;Carlos Zarattini;PT;SP
2422887-23;204369;Não;Caroline de Toni;PL;SC
2422887-23;220699;Não;Castro Neto;MDB;PI
2422887-23;206018;Sim;Célia Xakriabá;PSOL;MG
2422887-23;204488;Sim;Célio Studart;PSD;CE
2422887-23;73441;Não;Celso Russomanno;REPUBLICANOS;SP
2422887-23;204496;Sim;Celso Sabino;PDT;PA
2422887-23;204504;Não;Cezinha de Madureira;PL;SP
2422887-23;205476;Não;Charles Fernandes;PSD;BA
2422887-23;74171;Sim;Chico Alencar;PSOL;RJ
2422887-23;204462;Não;Chris Tonietto;PL;RJ
2422887-23;220665;Não;Clarissa Tércio;PP;PE
2422887-23;74537;Não;Claudio Cajado;PP;BA
2422887-23;141408;Não;Cleber Verde;MDB;MA
2422887-23;88256;Sim;Clodoaldo Magalhães;PV;PE
2422887-23;98148;Não;Cobalchini;MDB;SC
2422887-23;220594;Não;Coronel Assis;PL;MT
2422887-23;204378;Não;Coronel Chrisóstomo;PL;RO
2422887-23;220595;Não;Coronel Fernanda;PL;MT
2422887-23;220590;Não;Coronel Ulysses;UNIÃO;AC
2422887-23;220608;Não;Cristiane Lopes;PODE;RO
2422887-23;204355;Não;Da Vitoria;PP;ES
2422887-23;141411;Sim;Dagoberto Nogueira;PP;MS
2422887-23;220555;Sim;Daiana Santos;PCDOB;RS
2422887-23;220692;Não;Dal Barreto;UNIÃO;BA
2422887-23;220629;Sim;Dandara;PT;MG
2422887-23;220603;Não;Dani Cunha;PL;RJ
2422887-23;220571;Não;Daniel Agrobom;PSD;GO
2422887-23;74060;Sim;Daniel Almeida;PCDOB;BA
2422887-23;220582;Não;Daniel Barbosa;PP;AL
2422887-23;204367;Não;Daniel Freitas;PL;SC
2422887-23;204409;Não;Daniel Trzeciak;PSDB;RS
2422887-23;204459;Sim;Daniela do Waguinho;REPUBLICANOS;RJ
2422887-23;220557;Não;Daniela Reinehr;PL;SC
2422887-23;62881;Não;Danilo Forte;PP;CE
2422887-23;220539;Não;Defensor Stélio Dener;UNIÃO;RR
2422887-23;220565;Sim;Delegada Adriana Accorsi;PT;GO
2422887-23;220625;Não;Delegada Ione;PL;MG
2422887-23;220561;Não;Delegada Katarina;PSD;SE
2422887-23;220642;Não;Delegado Bruno Lima;PODE;SP
2422887-23;220649;Não;Delegado da Cunha;UNIÃO;SP
2422887-23;220583;Não;Delegado Fabio Costa;PP;AL
2422887-23;204512;Não;Delegado Marcelo Freitas;UNIÃO;MG
2422887-23;220701;Sim;Delegado Matheus Laiola;UNIÃO;PR
2422887-23;220652;Não;Delegado Palumbo;PODE;SP
2422887-23;220654;Não;Delegado Paulo Bilynskyj;PL;SP
2422887-23;160588;Não;Diego Andrade;PSD;MG
2422887-23;220691;Não;Diego Coronel;REPUBLICANOS;BA
2422887-23;73768;Não;Dilceu Sperafico;PP;PR
2422887-23;220671;Sim;Dilvanda Faro;PT;PA
2422887-23;160599;Não;Dimas Fabiano;PP;MG
2422887-23;220602;Sim;Dimas Gadelha;PT;RJ
2422887-23;160758;Não;Domingos Sávio;PL;MG
2422887-23;220573;Sim;Dorinaldo Malafaia;PDT;AP
2422887-23;227991;Não;Dr Flávio;PL;RJ
2422887-23;220614;Não;Dr. Daniel Soranz;PSD;RJ
2422887-23;220610;Não;Dr. Fernando Máximo;PL;RO
2422887-23;220688;Sim;Dr. Francisco;PT;PI
2422887-23;204518;Não;Dr. Frederico;PL;MG
2422887-23;220570;Não;Dr. Ismael Alexandrino;PSD;GO
2422887-23;204351;Não;Dr. Luiz Ovando;PP;MS
2422887-23;220528;Sim;Dr. Victor Linhalis;PSB;ES
2422887-23;204412;Não;Dr. Zacharias Calil;MDB;GO
2422887-23;220674;Não;Dra. Alessandra Haber;PODE;PA
2422887-23;220686;Sim;Duarte Jr.;AVANTE;MA
2422887-23;220623;Sim;Duda Salabert;PSOL;MG
2422887-23;204541;Sim;Eduardo Bismarck;PV;CE
2422887-23;141421;Não;Eduardo da Fonte;PP;PE
2422887-23;161550;Não;Emidinho Madeira;PL;MG
2422887-23;220663;Sim;Eriberto Medeiros;PSB;PE
2422887-23;220645;Sim;Erika Hilton;PSOL;SP
2422887-23;160575;Sim;Erika Kokay;PT;DF
2422887-23;160640;Não;Eros Biondini;PL;MG
2422887-23;178871;Não;Evair Vieira de Melo;REPUBLICANOS;ES
2422887-23;178905;Não;Fabio Garcia;UNIÃO;MT
2422887-23;171623;Não;Fabio Reis;PSD;SE
2422887-23;204368;Não;Fabio Schiochet;UNIÃO;SC
2422887-23;220653;Não;Fábio Teruel;MDB;SP
2422887-23;66828;Não;Fausto Pinato;UNIÃO;SP
2422887-23;220646;Sim;Felipe Becari;PODE;SP
2422887-23;72442;Sim;Felipe Carreras;PSB;PE
2422887-23;204398;Não;Felipe Francischini;PODE;PR
2422887-23;204407;Sim;Fernanda Melchionna;PSOL;RS
2422887-23;220656;Não;Fernanda Pessoa;PSD;CE
2422887-23;141431;Não;Fernando Coelho Filho;UNIÃO;PE
2422887-23;204445;Sim;Fernando Mineiro;PT;RN
2422887-23;204427;Abstenção;Fernando Rodolfo;PRD;PE
2422887-23;204411;Não;Filipe Barros;PL;PR
2422887-23;220545;Não;Filipe Martins;PL;TO
2422887-23;191923;Sim;Flávio Nogueira;PT;PI
2422887-23;220700;Sim;Florentino Neto;PT;PI
2422887-23;220551;Não;Franciane Bayer;REPUBLICANOS;RS
2422887-23;204494;Sim;Fred Costa;PRD;MG
2422887-23;220534;Não;Fred Linhares;REPUBLICANOS;DF
2422887-23;224117;Não;Gabriel Mota;UNIÃO;RR
2422887-23;204473;Não;General Girão;PL;RN
2422887-23;220611;Não;General Pazuello;PL;RJ
2422887-23;178966;Não;Geovania de Sá;REPUBLICANOS;SC
2422887-23;220702;Não;Geraldo Mendes;UNIÃO;PR
2422887-23;74374;Não;Geraldo Resende;UNIÃO;MS
2422887-23;204394;Sim;Gervásio Maia;PCDOB;PB
2422887-23;220529;Sim;Gilson Daniel;PODE;ES
2422887-23;204365;Não;Gilson Marques;NOVO;SC
2422887-23;220526;Não;Gilvan da Federal;PL;ES
2422887-23;160673;Não;Giovani Cherini;PL;RS
2422887-23;204419;Não;Glaustin da Fokus;PODE;GO
2422887-23;107283;Sim;Gleisi Hoffmann;PT;PR
2422887-23;198197;Não;Greyce Elias;PL;MG
2422887-23;204531;Não;Guilherme Derrite;PP;SP
2422887-23;220568;Não;Gustavo Gayer;PL;GO
2422887-23;204408;Não;Gustinho Ribeiro;PP;SE
2422887-23;204456;Não;Gutemberg Reis;MDB;RJ
2422887-23;178873;Sim;Helder Salomão;PT;ES
2422887-23;220537;Não;Helena Lima;PSD;RR
2422887-23;234788;Sim;Heloísa Helena;REDE;RJ
2422887-23;204539;Não;Hercílio Coelho Diniz;MDB;MG
2422887-23;178884;Não;Hildo Rocha;MDB;MA
2422887-23;141450;Não;Hugo Leal;PSD;RJ
2422887-23;160674;Artigo 17;Hugo Motta;REPUBLICANOS;PB
2422887-23;220563;Não;Icaro de Valmir;REPUBLICANOS;SE
2422887-23;204533;Sim;Idilvan Alencar;PSB;CE
2422887-23;204508;Não;Igor Timo;UNIÃO;MG
2422887-23;235620;Não;Ilacir Bicalho;REPUBLICANOS;MG
2422887-23;220696;Sim;Ivoneide Caetano;PT;BA
2422887-23;220670;Sim;Iza Arruda;MDB;PE
2422887-23;220527;Sim;Jack Rocha;PT;ES
2422887-23;220697;Não;Jadyel Alencar;REPUBLICANOS;PI
2422887-23;74848;Sim;Jandira Feghali;PCDOB;RJ
2422887-23;220567;Não;Jeferson Rodrigues;PSDB;GO
2422887-23;74273;Não;Jefferson Campos;PL;SP
2422887-23;141456;Sim;Jilmar Tatto;PT;SP
2422887-23;235869;Não;João Carlos;REPUBLICANOS;AM
2422887-23;141459;Não;João Maia;PP;RN
2422887-23;178910;Não;Joaquim Passarinho;PL;PA
2422887-23;160548;Sim;Jonas Donizette;PSB;SP
2422887-23;205550;Não;Jorge Braz;REPUBLICANOS;RJ
2422887-23;214694;Não;Jorge Goetten;REPUBLICANOS;SC
2422887-23;178857;Sim;Jorge Solla;PT;BA
2422887-23;141464;Sim;José Airton Félix Cirilo;PT;CE
2422887-23;74554;Não;José Rocha;UNIÃO;BA
2422887-23;209189;Sim;Joseildo Ramos;PT;BA
2422887-23;220578;Sim;Josenildo;PDT;AP
2422887-23;215043;Não;Josivaldo JP;UNIÃO;MA
2422887-23;204474;Não;Juarez Costa;REPUBLICANOS;MT
2422887-23;220559;Não;Julia Zanatta;PL;SC
2422887-23;220640;Sim;Juliana Cardoso;PT;SP
2422887-23;66385;Não;Julio Arcoverde;PP;PI
2422887-23;204372;Não;Julio Cesar Ribeiro;REPUBLICANOS;DF
2422887-23;74253;Não;Julio Lopes;PP;RJ
2422887-23;204457;Não;Juninho do Pneu;PSDB;RJ
2422887-23;204520;Não;Junio Amaral;PL;MG
2422887-23;204497;Não;Júnior Ferrari;PSD;PA
2422887-23;204574;Não;Junior Lourenço;MDB;MA
2422887-23;220677;Não;Keniston Braga;MDB;PA
2422887-23;204536;Não;Kim Kataguiri;MISSÃO;SP
2422887-23;98057;Não;Lafayette de Andrada;PL;MG
2422887-23;74856;Sim;Laura Carneiro;PSD;RJ
2422887-23;178832;Sim;Leandre;PSD;PR
2422887-23;220566;Não;Lêda Borges;REPUBLICANOS;GO
2422887-23;80815;Não;Leo Prates;REPUBLICANOS;BA
2422887-23;139285;Sim;Lídice da Mata;PSB;BA
2422887-23;74585;Não;Lincoln Portela;PL;MG
2422887-23;220662;Sim;Lucas Ramos;PSB;PE
2422887-23;204404;Não;Lucas Redecker;PSD;RS
2422887-23;220581;Não;Luciano Amaral;PSD;AL
2422887-23;178931;Sim;Luciano Ducci;PSB;PR
2422887-23;220616;Não;Luciano Vieira;PSDB;RJ
2422887-23;178954;Não;Lucio Mosquini;PL;RO
2422887-23;141485;Não;Luiz Carlos Busato;UNIÃO;RS
2422887-23;73778;Não;Luiz Carlos Hauly;PODE;PR
2422887-23;204485;Não;Luiz Carlos Motta;PL;SP
2422887-23;74041;Sim;Luiz Couto;PT;PB
2422887-23;141487;Não;Luiz Fernando Faria;UNIÃO;MG
2422887-23;220658;Não;Luiz Gastão;PSD;CE
2422887-23;204455;Não;Luiz Lima;NOVO;RJ
2422887-23;204526;Não;Luiz Philippe de Orleans e Bragança;PL;SP
2422887-23;74784;Sim;Luiza Erundina;PSOL;SP
2422887-23;178866;Sim;Luizianne Lins;REDE;CE
2422887-23;166402;Não;Magda Mofatto;PL;GO
2422887-23;156190;Não;Marcel van Hattem;NOVO;RS
2422887-23;179000;Não;Marcelo Álvaro Antônio;PL;MG
2422887-23;133810;Não;Marcelo Moraes;PL;RS
2422887-23;204558;Não;Marcelo Nilo;REPUBLICANOS;BA
2422887-23;160161;Sim;Marcelo Queiroz;PSDB;RJ
2422887-23;178983;Não;Marcio Alvino;PL;SP
2422887-23;179001;Não;Márcio Biolchi;MDB;RS
2422887-23;220687;Abstenção;Márcio Honaiser;SOLIDARIEDADE;MA
2422887-23;81055;Sim;Márcio Jerry;PCDOB;MA
2422887-23;150418;Não;Márcio Marinho;REPUBLICANOS;BA
2422887-23;160535;Sim;Marcon;PT;RS
2422887-23;204431;Não;Marcos Aurélio Sampaio;MDB;PI
2422887-23;220547;Não;Marcos Pollon;PL;MS
2422887-23;220604;Sim;Marcos Tavares;PDT;RJ
2422887-23;220668;Sim;Maria Arraes;PSB;PE
2422887-23;74398;Sim;Maria do Rosário;PT;RS
2422887-23;204540;Não;Maria Rosas;REPUBLICANOS;SP
2422887-23;220637;Sim;Marina Silva;REDE;SP
2422887-23;74158;Sim;Mário Heringer;PDT;MG
2422887-23;178858;Sim;Mário Negromonte Jr.;PSB;BA
2422887-23;220572;Não;Marussa Boldrin;REPUBLICANOS;GO
2422887-23;178843;Não;Marx Beltrão;UNIÃO;AL
2422887-23;220661;Não;Matheus Noronha;PL;CE
2422887-23;220628;Não;Mauricio do Vôlei;PL;MG
2422887-23;220550;Não;Mauricio Marcon;PL;RS
2422887-23;220647;Não;Mauricio Neves;PP;SP
2422887-23;220607;Não;Max Lemos;UNIÃO;RJ
2422887-23;220591;Sim;Meire Serafim;UNIÃO;AC
2422887-23;74428;Não;Mendonça Filho;PL;PE
2422887-23;188097;Sim;Merlong Solano;PT;PI
2422887-23;220530;Não;Messias Donato;UNIÃO;ES
2422887-23;171786;Sim;Miguel Ângelo;PT;MG
2422887-23;178985;Não;Miguel Lombardi;PL;SP
2422887-23;154178;Não;Milton Vieira;REPUBLICANOS;SP
2422887-23;178895;Não;Misael Varella;PSD;MG
2422887-23;160561;Não;Missionário José Olimpio;PL;SP
2422887-23;220617;Não;Murillo Gouvea;PSDB;RJ
2422887-23;220584;Não;Murilo Galdino;REPUBLICANOS;PB
2422887-23;204453;Sim;Natália Bonavides;PT;RN
2422887-23;204449;Não;Nelson Barbudo;PODE;MT
2422887-23;220622;Não;Nely Aquino;PODE;MG
2422887-23;220703;Não;Neto Carletto;AVANTE;BA
2422887-23;204479;Não;Nicoletti;PL;RR
2422887-23;209787;Não;Nikolas Ferreira;PL;MG
2422887-23;178986;Sim;Nilto Tatto;PT;SP
2422887-23;74159;Sim;Odair Cunha;PT;MG
2422887-23;204498;Não;Olival Marques;PODE;PA
2422887-23;73692;Não;Osmar Terra;PL;RS
2422887-23;220706;Não;Padovani;PP;PR
2422887-23;160556;Sim;Padre João;PT;MG
2422887-23;204570;Sim;Pastor Gil;PL;MA
2422887-23;220615;Sim;Pastor Henrique Vieira;PSOL;RJ
2422887-23;204553;Não;Pastor Sargento Isidório;AVANTE;BA
2422887-23;74160;Sim;Patrus Ananias;PT;MG
2422887-23;171617;Sim;Paulão;PT;AL
2422887-23;141516;Não;Paulo Abi-Ackel;PSDB;MG
2422887-23;220650;Não;Paulo Alexandre Barbosa;PSD;SP
2422887-23;178860;Não;Paulo Azi;UNIÃO;BA
2422887-23;160517;Sim;Paulo Folletto;PSB;ES
2422887-23;160558;Não;Paulo Freire Costa;PL;SP
2422887-23;204492;Sim;Paulo Guedes;PT;MG
2422887-23;233592;Sim;Paulo Lemos;PT;AP
2422887-23;220685;Não;Paulo Litro;UNIÃO;PR
2422887-23;74574;Não;Paulo Magalhães;PSD;BA
2422887-23;128760;Não;Paulo Marinho Jr;PL;MA
2422887-23;74400;Sim;Paulo Pimenta;PT;RS
2422887-23;141488;Sim;Paulo Teixeira;PT;SP
2422887-23;220630;Sim;Pedro Aihara;PP;MG
2422887-23;122974;Não;Pedro Lucas Fernandes;UNIÃO;MA
2422887-23;204395;Não;Pedro Lupion;REPUBLICANOS;PR
2422887-23;160604;Sim;Pedro Uczai;PT;SC
2422887-23;204406;Não;Pedro Westphalen;PP;RS
2422887-23;161440;Não;Pezenti;MDB;SC
2422887-23;73486;Não;Pompeo de Mattos;PDT;RS
2422887-23;160601;Não;Pr. Marco Feliciano;PL;SP
2422887-23;220533;Sim;Prof. Reginaldo Veras;PV;DF
2422887-23;204390;Não;Professor Alcides;PSDB;GO
2422887-23;221338;Sim;Professora Luciene Cavalcante;PSOL;SP
2422887-23;160641;Sim;Professora Marcivania;PCDOB;AP
2422887-23;233594;Não;Rafael Fera;PODE;RO
2422887-23;220532;Não;Rafael Prudente;MDB;DF
2422887-23;220626;Não;Rafael Simoes;UNIÃO;MG
2422887-23;74084;Não;Raimundo Santos;PSD;PA
2422887-23;220606;Sim;Reimont;PT;RJ
2422887-23;178989;Não;Renata Abreu;PODE;SP
2422887-23;153423;Não;Renilce Nicodemos;MDB;PA
2422887-23;73801;Sim;Renildo Calheiros;PCDOB;PE
2422887-23;235088;Sim;Ribeiro Neto;SOLIDARIEDADE;MA
2422887-23;221329;Não;Ricardo Abrão;PSDB;RJ
2422887-23;220543;Não;Ricardo Ayres;REPUBLICANOS;TO
2422887-23;73788;Não;Ricardo Barros;PP;PR
2422887-23;204362;Não;Ricardo Guidi;PL;SC
2422887-23;204489;Sim;Robério Monteiro;PSB;CE
2422887-23;220693;Não;Roberta Roma;PL;BA
2422887-23;220588;Não;Roberto Duarte;REPUBLICANOS;AC
2422887-23;220613;Não;Roberto Monteiro Pai;PL;RJ
2422887-23;220624;Não;Robinson Faria;PP;RN
2422887-23;220546;Não;Rodolfo Nogueira;PL;MS
2422887-23;141531;Não;Rodrigo de Castro;UNIÃO;MG
2422887-23;141533;Sim;Rodrigo Rollemberg;PSB;DF
2422887-23;165470;Não;Rodrigo Valadares;PL;SE
2422887-23;220695;Não;Rogéria Santos;REPUBLICANOS;BA
2422887-23;204480;Sim;Rogério Correia;PT;MG
2422887-23;160629;Não;Romero Rodrigues;PODE;PB
2422887-23;204525;Não;Rosana Valle;PL;SP
2422887-23;178945;Não;Rosangela Gomes;REPUBLICANOS;RJ
2422887-23;220644;Não;Rosangela Moro;PL;SP
2422887-23;220620;Não;Rosângela Reis;PL;MG
2422887-23;178887;Sim;Rubens Pereira Júnior;PT;MA
2422887-23;73604;Sim;Rui Falcão;PT;SP
2422887-23;160635;Sim;Ruy Carneiro;PODE;PB
2422887-23;220631;Não;Samuel Viana;UNIÃO;MG
2422887-23;204416;Não;Sanderson;PL;RS
2422887-23;160621;Não;Sandro Alex;PSD;PR
2422887-23;204387;Não;Sargento Fahur;PL;PR
2422887-23;220621;Não;Sargento Gonçalves;PL;RN
2422887-23;220618;Não;Sargento Portugal;PODE;RJ
2422887-23;220713;Não;Saullo Vianna;MDB;AM
2422887-23;226837;Não;Saulo Pedroso;PSD;SP
2422887-23;73808;Sim;Sérgio Brito;PSD;BA
2422887-23;178933;Não;Sergio Souza;MDB;PR
2422887-23;235776;Não;Sérgio Turra;PP;RS
2422887-23;204557;Não;Sidney Leite;PSD;AM
2422887-23;227310;Não;Silvio Antonio;PL;MA
2422887-23;220651;Não;Simone Marquetto;PP;SP
2422887-23;104552;Não;Socorro Neri;PP;AC
2422887-23;220643;Sim;Sônia Guajajara;PSOL;SP
2422887-23;178946;Não;Soraya Santos;PL;RJ
2422887-23;178947;Não;Sóstenes Cavalcante;PL;RJ
2422887-23;204534;Sim;Tabata Amaral;PSB;SP
2422887-23;220682;Sim;Tadeu Veneri;PT;PR
2422887-23;220598;Sim;Tarcísio Motta;PSOL;RJ
