uriproposicao;codtema;tema;relevancia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600036;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600036;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600036;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600037;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600037;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600037;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600038;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600038;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600038;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600040;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600040;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600040;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600040;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600041;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600041;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600042;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600042;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600042;56;Saúde;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600043;34;Administração Pública;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600043;40;Economia;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599992;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599992;39;Esporte e Lazer;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600044;57;Defesa e Segurança;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600044;76;Direito e Justiça;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600044;44;Direitos Humanos e Minorias;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599993;43;Direito Penal e Processual Penal;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599993;48;Meio Ambiente e Desenvolvimento Sustentável;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599994;70;Finanças Públicas e Orçamento;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599994;66;Indústria, Comércio e Serviços;0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2599994;58;Trabalho e Emprego;0
