idproposicao;uriproposicao;idautor;nomeautor;tipoautor;ordemassinatura;pesoautoria
2606519;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606519;220648;Marangoni;Deputado(a);1;1
2606519;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606519;160665;Augusto Coutinho;Deputado(a);2;0
2606518;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606518;122974;Pedro Lucas Fernandes;Deputado(a);1;1
2606517;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606517;198197;Greyce Elias;Deputado(a);1;1
2606516;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606516;178947;Sóstenes Cavalcante;Deputado(a);1;1
2606515;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606515;204492;Paulo Guedes;Deputado(a);1;1
2606514;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606514;198197;Greyce Elias;Deputado(a);1;1
2606513;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606513;204492;Paulo Guedes;Deputado(a);1;1
2606512;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606512;204492;Paulo Guedes;Deputado(a);1;1
2606511;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606511;204492;Paulo Guedes;Deputado(a);1;1
2606510;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606510;74400;Paulo Pimenta;Deputado(a);1;1
2606510;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606510;171617;Paulão;Deputado(a);3;1
2606510;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606510;178986;Nilto Tatto;Deputado(a);4;1
2606509;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606509;204492;Paulo Guedes;Deputado(a);1;1
2606508;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606508;178947;Sóstenes Cavalcante;Deputado(a);1;1
2606507;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606507;74400;Paulo Pimenta;Deputado(a);1;1
2606507;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606507;171617;Paulão;Deputado(a);3;1
2606507;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606507;178986;Nilto Tatto;Deputado(a);4;1
2606506;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606506;98148;Cobalchini;Deputado(a);1;1
2606505;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606505;178857;Jorge Solla;Deputado(a);1;1
2606504;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606504;204460;Carlos Jordy;Deputado(a);1;1
2606503;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606503;141470;José Guimarães;Deputado(a);1;1
2606502;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606502;220559;Julia Zanatta;Deputado(a);1;1
2606501;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606501;220559;Julia Zanatta;Deputado(a);1;1
2606500;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606500;204457;Juninho do Pneu;Deputado(a);1;1
2606499;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606499;204460;Carlos Jordy;Deputado(a);1;1
2606498;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606498;220559;Julia Zanatta;Deputado(a);1;1
2606497;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606497;204557;Sidney Leite;Deputado(a);1;1
2606496;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606496;220559;Julia Zanatta;Deputado(a);1;1
2606495;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606495;220654;Delegado Paulo Bilynskyj;Deputado(a);1;1
2606494;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606494;204557;Sidney Leite;Deputado(a);1;1
2606493;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606493;74262;Carlos Sampaio;Deputado(a);1;1
2606492;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606492;178871;Evair Vieira de Melo;Deputado(a);1;1
2606491;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606491;220654;Delegado Paulo Bilynskyj;Deputado(a);1;1
2606490;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606490;204557;Sidney Leite;Deputado(a);1;1
2606489;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606489;220654;Delegado Paulo Bilynskyj;Deputado(a);1;1
2606488;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606488;220654;Delegado Paulo Bilynskyj;Deputado(a);1;1
2606487;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606487;178871;Evair Vieira de Melo;Deputado(a);1;1
2606486;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606486;74253;Julio Lopes;Deputado(a);1;1
