idvotacao;proposicao_id;proposicao_uri;proposicao_titulo;proposicao_ementa;proposicao_siglatipo;proposicao_numero;proposicao_ano;__reason
2432865-61;2535920;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2535920;RPD 29 => PL 1743/2024;Votação Nominal do Destaque de Emenda - PL 1743/2024-Destaque de Emenda - PL 1743/2024;RPD;29;;fk_missing:proposicao_id
2432865-61;2536312;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2536312;RPD 30 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;30;;fk_missing:proposicao_id
2432865-61;2536313;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2536313;RPD 31 => PL 1743/2024;Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024;RPD;31;;fk_missing:proposicao_id
2432865-61;2536316;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2536316;RPD 32 => PL 1743/2024;Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;32;;fk_missing:proposicao_id
2432865-61;2536317;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2536317;RPD 33 => PL 1743/2024;Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024-Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024;RPD;33;;fk_missing:proposicao_id
2432865-61;2536320;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2536320;RPD 34 => PL 1743/2024;Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024-Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;34;;fk_missing:proposicao_id
2432865-61;2536321;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2536321;RPD 35 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;35;;fk_missing:proposicao_id
2432865-61;2536730;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2536730;RPD 36 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;36;;fk_missing:proposicao_id
2432865-61;2536731;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2536731;RPD 37 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;37;;fk_missing:proposicao_id
2432865-61;2537091;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537091;RPD 38 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;38;;fk_missing:proposicao_id
