Ranking global - todos os anos
 id_deputado | nome                                                | sigla_uf | sigla_partido | gasto_total 
      178860 | PAULO VELLOSO DANTAS AZI                            | BA       | UNIAO         |  1707887.84 
      220556 | ANA PAULA DE SOUZA LIMA                             | SC       | PT            |  1707297.71 
       74317 | JÚLIO CÉSAR DE CARVALHO LIMA                        | PI       | PSD           |  1704451.05 
      204427 | FERNANDO RODOLFO TENORIO DE VASCONCELOS             | PE       | PRD           |  1701736.76 
      220693 | Roberta de Araujo Costa Roma                        | BA       | PL            |  1698544.27 
      123086 | ÁTILA DE MELO LIRA                                  | PI       | PP            |  1697412.97 
      141398 | CARLOS ALBERTO ROLIM ZARATTINI                      | SP       | PT            |  1697258.12 
      220583 | FABIO MICHEY COSTA DA SILVA                         | AL       | PP            |  1695731.70 
      204408 | LUIZ AUGUSTO CARVALHO RIBEIRO FILHO                 | SE       | PP            |  1694991.72 
      178933 | SERGIO DE SOUZA                                     | PR       | MDB           |  1694991.18 
      178871 | EVAIR VIEIRA DE MELO                                | ES       | REPUBLICANOS  |  1694777.09 
       74467 | DAMIÃO FELICIANO DA SILVA                           | PB       | UNIAO         |  1694163.07 
      204488 | CELIO STUDART BARBOSA                               | CE       | PSD           |  1690997.58 
      160548 | JONAS DONIZETTE FERREIRA                            | SP       | PSB           |  1690945.45 
      220695 | ROGÉRIA DE ALMEIDA PEREIRA DOS SANTOS               | BA       | REPUBLICANOS  |  1690550.65 
      204356 | AMARO ROCHA NASCIMENTO NETO                         | ES       | PP            |  1690415.92 
      141464 | JOSÉ AIRTON FÉLIX CIRILO DA SILVA                   | CE       | PT            |  1689965.57 
      160642 | FRANCISCO EURICO DA SILVA                           | PE       | PSDB          |  1689412.33 
      162332 | LUIZ HILOSHI NISHIMORI                              | PR       | PSD           |  1687977.24 
      220701 | MATHEUS ARAUJO LAIOLA                               | PR       | UNIAO         |  1687736.43 
       74428 | JOSÉ MENDONÇA BEZERRA FILHO                         | PE       | PL            |  1685375.55 
      160610 | VALMIR CARLOS DA ASSUNÇÃO                           | BA       | PT            |  1683874.27 
       74057 | ALICE MAZZUCO PORTUGAL                              | BA       | PCDOB         |  1683812.61 
       92102 | LEUR ANTONIO DE BRITTO LOMANTO JUNIOR               | BA       | UNIAO         |  1683399.75 
      150418 | MÁRCIO CARLOS MARINHO                               | BA       | REPUBLICANOS  |  1682177.46 
      204351 | LUIZ ALBERTO OVANDO                                 | MS       | PP            |  1681488.20 
       92776 | STEFANO AGUIAR DOS SANTOS                           | MG       | PSD           |  1679211.24 
      178857 | JORGE JOSE SANTOS PEREIRA SOLLA                     | BA       | PT            |  1678554.21 
      204457 | ROGERIO TEIXEIRA JUNIOR                             | RJ       | PSDB          |  1677807.07 
      210989 | BRUNO SOUZA FARIAS                                  | MG       | REPUBLICANOS  |  1677126.84 
      220690 | ALDEN JOSE LAZARO DA SILVA                          | BA       | PL            |  1677123.11 
      204518 | FREDERICO DE CASTRO ESCALEIRA                       | MG       | PL            |  1674564.96 
      220668 | MARIA LEAL ARRAES DE ALENCAR                        | PE       | PSB           |  1674304.78 
      220543 | RICARDO AYRES DE CARVALHO                           | TO       | REPUBLICANOS  |  1674085.34 
      220656 | FERNANDA ENEIDA PESSOA CARACAS DE SOUZA             | CE       | PSD           |  1673982.65 
      220699 | JOSÉ DIAS DE CASTRO NETO                            | PI       | MDB           |  1672868.64 
      220559 | JULIA PEDROSO ZANATTA                               | SC       | PL            |  1672712.77 
      160758 | DOMINGOS SÁVIO CAMPOS RESENDE                       | MG       | PL            |  1672217.54 
      178992 | VITOR LIPPI                                         | SP       | PSD           |  1671547.50 
      220624 | ROBINSON MESQUITA DE FARIA                          | RN       | PP            |  1667734.70 
      220612 | Carlos Roberto Rodrigues                            | RJ       | PP            |  1667609.95 
      220696 | IVONEIDE SOUZA CAETANO                              | BA       | PT            |  1662697.00 
      220586 | RAFAEL DE GOES BRITO                                | AL       | MDB           |  1662620.94 
      220545 | FILIPE MARTINS DOS SANTOS                           | TO       | PL            |  1662165.78 
