id_evento;id_deputado;nome_deputado;sigla_partido;sigla_uf
80872;198197;;;
80872;198783;;;
80872;204351;;;
80872;204355;;;
80872;204356;;;
80872;204358;;;
80872;204360;;;
80872;204362;;;
80872;204364;;;
80872;204365;;;
80872;204367;;;
80872;204368;;;
80872;204372;;;
80872;204374;;;
80872;204378;;;
80872;204379;;;
80872;204387;;;
80872;204388;;;
80872;204390;;;
80872;204391;;;
80872;204394;;;
80872;204395;;;
80872;204396;;;
80872;204398;;;
80872;204404;;;
80872;204406;;;
80872;204407;;;
80872;204408;;;
80872;204409;;;
80872;204410;;;
80872;204411;;;
80872;204412;;;
80872;204416;;;
80872;204419;;;
80872;204423;;;
80872;204426;;;
80872;204427;;;
80872;204431;;;
80872;204436;;;
80872;204441;;;
80872;204444;;;
80872;204445;;;
80872;204448;;;
80872;204453;;;
80872;204455;;;
80872;204456;;;
80872;204457;;;
80872;204459;;;
80872;204460;;;
80872;204462;;;
80872;204464;;;
80872;204472;;;
80872;204473;;;
80872;204474;;;
80872;204479;;;
80872;204480;;;
80872;204481;;;
80872;204482;;;
80872;204485;;;
80872;204486;;;
80872;204488;;;
80872;204489;;;
80872;204491;;;
80872;204492;;;
80872;204494;;;
80872;204495;;;
80872;204496;;;
80872;204497;;;
80872;204498;;;
80872;204501;;;
80872;204504;;;
80872;204506;;;
80872;204508;;;
80872;204511;;;
80872;204512;;;
80872;204515;;;
80872;204517;;;
80872;204518;;;
80872;204520;;;
80872;204524;;;
80872;204525;;;
80872;204526;;;
80872;204528;;;
80872;204531;;;
80872;204534;;;
80872;204535;;;
80872;204536;;;
80872;204539;;;
80872;204540;;;
80872;204549;;;
80872;204550;;;
80872;204553;;;
80872;204557;;;
80872;204559;;;
80872;204560;;;
80872;204563;;;
80872;204566;;;
80872;204567;;;
80872;204570;;;
80872;204571;;;
80872;204572;;;
80872;204574;;;
80872;205476;;;
80872;205865;;;
80872;209189;;;
80872;209787;;;
80872;210989;;;
80872;213762;;;
80872;214694;;;
80872;215043;;;
80872;218086;;;
80872;220526;;;
80872;220527;;;
80872;220529;;;
80872;220530;;;
80872;220532;;;
80872;220533;;;
80872;220534;;;
80872;220536;;;
80872;220537;;;
80872;220538;;;
80872;220539;;;
80872;220540;;;
80872;220542;;;
80872;220543;;;
80872;220544;;;
80872;220545;;;
80872;220546;;;
80872;220547;;;
80872;220548;;;
80872;220549;;;
80872;220550;;;
80872;220551;;;
80872;220552;;;
80872;220553;;;
80872;220554;;;
80872;220555;;;
80872;220556;;;
80872;220557;;;
80872;220558;;;
80872;220559;;;
80872;220560;;;
80872;220561;;;
80872;220563;;;
80872;220564;;;
80872;220565;;;
80872;220566;;;
