"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2581299";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581299";"204464";"https://dadosabertos.camara.leg.br/api/v2/deputados/204464";"10000";"Deputado(a)";"Talíria Petrone";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"RJ";"1";"1"
"2581298";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581298";"220551";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"10000";"Deputado(a)";"Franciane Bayer";"REPUBLIC";"";"RS";"1";"1"
"2581297";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581297";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"10000";"Deputado(a)";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"1";"1"
"2581296";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581296";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"10000";"Deputado(a)";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"1";"1"
"2581295";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581295";"74084";"https://dadosabertos.camara.leg.br/api/v2/deputados/74084";"10000";"Deputado(a)";"Raimundo Santos";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"PA";"2";"0"
"2581295";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581295";"178947";"https://dadosabertos.camara.leg.br/api/v2/deputados/178947";"10000";"Deputado(a)";"Sóstenes Cavalcante";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"3";"0"
"2581295";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581295";"204491";"https://dadosabertos.camara.leg.br/api/v2/deputados/204491";"10000";"Deputado(a)";"Gilberto Abramo";"REPUBLIC";"";"MG";"4";"0"
"2581295";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581295";"204374";"https://dadosabertos.camara.leg.br/api/v2/deputados/204374";"10000";"Deputado(a)";"Bia Kicis";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"DF";"1";"1"
"2581294";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581294";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"10000";"Deputado(a)";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"1";"1"
"2581293";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581293";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"10000";"Deputado(a)";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"1";"1"
