Q10 - Alinhamento interno dos partidos
(Qual partido convence mais seus deputados a seguir a orientacao partidaria)

Q10 - Ranking de alinhamento interno - consolidado (2023-2026)
 posicao | sigla_partido | ideologia_score | ideologia_faixa | campo_ideologico | qtd_deputados | total_votos_com_diretriz | votos_alinhados | votos_contrarios | pct_alinhamento 
---------+---------------+-----------------+-----------------+------------------+---------------+--------------------------+-----------------+------------------+-----------------
 MDB           |           6.499 | Centro-direita  | direita          |      220677 | Keniston Braga                      |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      178954 | Lucio Mosquini                      |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      229432 | Luiz Fernando Vampiro               |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      179001 | Márcio Biolchi                      |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220572 | Marussa Boldrin                     |                        3 |               3 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      233218 | Nelinho Freitas                     |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      204441 | Otoni de Paula                      |                        4 |               4 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220532 | Rafael Prudente                     |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220694 | Ricardo Maia                        |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220713 | Saullo Vianna                       |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220660 | Yury do Paredão                     |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      153423 | Renilce Nicodemos                   |                       35 |              33 |                     94.29
 MDB           |           6.499 | Centro-direita  | direita          |      220674 | Dra. Alessandra Haber               |                       17 |              16 |                     94.12
 MDB           |           6.499 | Centro-direita  | direita          |       98148 | Cobalchini                          |                       75 |              70 |                     93.33
