Ranking global - todos os anos
 id_deputado |                        nome                         | sigla_uf | sigla_partido | gasto_total 
      220664 | GUILHERME A. UCHOA CAVALCANTI PESSOA DE MELO JUNIOR | PE       | PSD           |  1708034.17
      220556 | ANA PAULA DE SOUZA LIMA                             | SC       | PT            |  1707297.71
      204567 | RAIMUNDO MAGALHÃES COSTA                            | BA       | PSD           |  1700253.26
       74383 | FERNANDO LÚCIO GIACOBO                              | PR       | PSD           |  1699879.60
      160553 | ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO        | BA       | PSD           |  1699469.84
      220693 | Roberta de Araujo Costa Roma                        | BA       | PL            |  1698544.27
      123086 | ÁTILA DE MELO LIRA                                  | PI       | PP            |  1697412.97
      204409 | DANIEL TRZECIAK DUARTE                              | RS       | PSDB          |  1696421.76
      204504 | ANTONIO CEZAR CORREIA FREIRE                        | SP       | PL            |  1696266.77
      220583 | FABIO MICHEY COSTA DA SILVA                         | AL       | PP            |  1695731.70
      160517 | PAULO ROBERTO FOLLETTO                              | ES       | PSB           |  1694417.92
      204534 | TABATA CLAUDIA AMARAL DE PONTES                     | SP       | PSB           |  1692705.36
      204472 | JOSE ANTONIO DOS SANTOS MEDEIROS                    | MT       | PL            |  1691813.62
       74356 | SILAS CÂMARA                                        | AM       | REPUBLICANOS  |  1691660.17
      160548 | JONAS DONIZETTE FERREIRA                            | SP       | PSB           |  1690945.45
      220695 | ROGÉRIA DE ALMEIDA PEREIRA DOS SANTOS               | BA       | REPUBLICANOS  |  1690550.65
      160600 | ARTHUR DE OLIVEIRA MAIA DA SILVA                    | BA       | UNIAO         |  1689989.37
      139285 | LÍDICE DA MATA E SOUZA                              | BA       | PSB           |  1689346.02
      178843 | MARX BELTRÃO LIMA SIQUEIRA                          | AL       | UNIAO         |  1688680.07
      220701 | MATHEUS ARAUJO LAIOLA                               | PR       | UNIAO         |  1687736.43
       92699 | FERNANDO MONTEIRO DE ALBUQUERQUE                    | PE       | PSD           |  1685954.54
       74159 | ODAIR JOSÉ DA CUNHA                                 | MG       | PT            |  1685925.14
       74428 | JOSÉ MENDONÇA BEZERRA FILHO                         | PE       | PL            |  1685375.55
      178993 | CARLOS HENRIQUE AMORIM                              | TO       | UNIAO         |  1684805.20
      160569 | WALDENOR ALVES PEREIRA FILHO                        | BA       | PT            |  1683030.78
      178860 | PAULO VELLOSO DANTAS AZI                            | BA       | UNIAO         |  1678916.81
      210989 | BRUNO SOUZA FARIAS                                  | MG       | REPUBLICANOS  |  1677126.84
      220690 | ALDEN JOSE LAZARO DA SILVA                          | BA       | PL            |  1677123.11
      204486 | CARLOS MAURO BENEVIDES FILHO                        | CE       | UNIAO         |  1676588.03
      220668 | MARIA LEAL ARRAES DE ALENCAR                        | PE       | PSB           |  1674304.78
      220543 | RICARDO AYRES DE CARVALHO                           | TO       | REPUBLICANOS  |  1674085.34
      220656 | FERNANDA ENEIDA PESSOA CARACAS DE SOUZA             | CE       | PSD           |  1673982.65
      204495 | AIRTON LUIZ FALEIRO                                 | PA       | PT            |  1673417.10
      220699 | JOSÉ DIAS DE CASTRO NETO                            | PI       | MDB           |  1672868.64
      220559 | JULIA PEDROSO ZANATTA                               | SC       | PL            |  1672712.77
      133439 | ANDRÉ PEIXOTO FIGUEIREDO LIMA                       | CE       | PDT           |  1670939.57
      204367 | DANIEL COSTA DE FREITAS                             | SC       | PL            |  1669741.29
      160642 | FRANCISCO EURICO DA SILVA                           | PE       | PSDB          |  1669252.29
      220624 | ROBINSON MESQUITA DE FARIA                          | RN       | PP            |  1667734.70
