q4_escolaridade_complementar

 escolaridade            | sigla_partido | id_deputado | nome                                                
 Nao informado           | PP            |      235800 | JORGE SILVA DE ARAÚJO                               
 Nao informado           | PP            |      228797 | JÚLIO DA SILVA OLIVEIRA                             
 Nao informado           | PP            |      228616 | REMY ALVES SOARES FILHO                             
 Nao informado           | PRD           |      234388 | FABIANO LOPES FERREIRA CAZECA                       
 Nao informado           | PRD           |      227370 | FELIPE MAURÍCIO SALIBA DE SOUZA                     
 Nao informado           | PSB           |      220667 | PEDRO HENRIQUE DE A. L. C. CAMPOS                   
 Nao informado           | PT            |      220700 | FLORENTINO ALVES VERAS NETO                         
 Nao informado           | PT            |      229259 | PEDRO TOURINHO DE SIQUEIRA                          
 Nao informado           | REDE          |      234840 | CRISTIANO BEVILACQUA FURLAN                         
 Nao informado           | REPUBLICANOS  |      227800 | DUARTE EUSTÁQUIO GONÇALVES JUNIOR                   
 Nao informado           | REPUBLICANOS  |      208297 | KATIA REGINA OLIVEIRA DIAS                          
 Nao informado           | REPUBLICANOS  |      100689 | OSMARILDO ALVES DE SOUSA                            
 Nao informado           | REPUBLICANOS  |      227275 | TACILLA MARIANA CARVALHO SILVA                      
 Nao informado           | SOLIDARIEDADE |      171139 | LORENY MAYARA CAETANO ROBERTO                       
 Nao informado           | SOLIDARIEDADE |      234673 | VALDERLAN ALVES DE SOUZA                            
 Nao informado           | UNIAO         |      227433 | DOUGLAS DE PAULO VIEGAS                             
 Nao informado           | UNIAO         |      227401 | FABIO GONÇALVES DE RUEDA                            
 Nao informado           | UNIAO         |      229939 | NEWTON BONIN                                        
 Nao informado           | UNIAO         |      222565 | NOELIO DA ROCHA OLIVEIRA                            
 Nao informado           | UNIAO         |      220539 | STÉLIO DENER DE SOUZA CRUZ                          
 Nao informado           | UNIAO         |      220590 | ULYSSES FREITAS PEREIRA DE ARAÚJO                   
 Primário Incompleto     | PT            |      160535 | DIONILSO MATEUS MARCON                              
 Pós-Graduação           | MDB           |       74075 | ELCIONE THEREZINHA ZAHLUTH BARBALHO                 
 Pós-Graduação           | MDB           |      178884 | HILDO AUGUSTO DA ROCHA NETO                         
 Pós-Graduação           | MDB           |      129618 | MARIA GORETE PEREIRA                                
 Pós-Graduação           | MDB           |      178896 | NEWTON CARDOSO JUNIOR                               
 Pós-Graduação           | MDB           |      220586 | RAFAEL DE GOES BRITO                                
 Pós-Graduação           | MDB           |      178933 | SERGIO DE SOUZA                                     
 Pós-Graduação           | NOVO          |      204365 | GILSON MARQUES VIEIRA                               
 Pós-Graduação           | PCDOB         |       74848 | JANDIRA FEGHALI                                     
 Pós-Graduação           | PDT           |      133439 | ANDRÉ PEIXOTO FIGUEIREDO LIMA                       
 Pós-Graduação           | PDT           |      220578 | JOSENILDO SANTOS ABRANTES                           
 Pós-Graduação           | PDT           |      220604 | MARCOS PAULO BARBOSA TAVARES                        
 Pós-Graduação           | PL            |      204572 | ALBERTO BARROS CAVALCANTE NETO                      
 Pós-Graduação           | PL            |      220576 | ALFREDO GASPAR DE MENDONÇA NETO                     
 Pós-Graduação           | PL            |      220657 | ANDRÉ FERNANDES DE MOURA                            
 Pós-Graduação           | PL            |      204507 | CARLA ZAMBELLI SALGADO DE OLIVEIRA                  
 Pós-Graduação           | PL            |      220603 | DANIELLE DYTZ DA CUNHA                              
 Pós-Graduação           | PL            |      160758 | DOMINGOS SÁVIO CAMPOS RESENDE                       
 Pós-Graduação           | PL            |      160640 | EROS FERREIRA BIONDINI                              
 Pós-Graduação           | PL            |      160673 | GIOVANI CHERINI                                     
 Pós-Graduação           | PL            |      204472 | JOSE ANTONIO DOS SANTOS MEDEIROS                    
 Pós-Graduação           | PL            |      141458 | JOÃO CARLOS PAOLILO BACELAR FILHO                   
