Q10 - Alinhamento interno dos partidos
(Qual partido convence mais seus deputados a seguir a orientacao partidaria)

Q10 - Ranking de alinhamento interno - consolidado (2023-2026)
 posicao | sigla_partido |    ideologia     | qtd_deputados | total_votos_com_diretriz | votos_alinhados | votos_contrarios | pct_alinhamento 
---------+---------------+------------------+---------------+--------------------------+-----------------+------------------+-----------------
       1 | MISSAO        | centro           |             1 |                       42 |              42 |                0 |          100.00
       1 | PRD           | centro           |             2 |                        6 |               6 |                0 |          100.00
       3 | NOVO          | direita          |             5 |                     1415 |            1408 |                7 |           99.51
       4 | PDT           | esquerda         |            20 |                      894 |             859 |               35 |           96.09
       5 | PSB           | esquerda         |            22 |                     1300 |            1244 |               56 |           95.69
       6 | AVANTE        | centro           |             7 |                       57 |              54 |                3 |           94.74
       7 | PSD           | centro           |            19 |                      258 |             242 |               16 |           93.80
       8 | SOLIDARIEDADE | centro           |             2 |                       16 |              15 |                1 |           93.75
       9 | PP            | direita          |            53 |                      764 |             700 |               64 |           91.62
      10 | MDB           | centro           |            14 |                      209 |             191 |               18 |           91.39
      11 | UNIAO         | centro           |            63 |                     1113 |            1008 |              105 |           90.57
      12 | PL            | direita          |           138 |                    28280 |           25564 |             2716 |           90.40
      13 | REPUBLICANOS  | direita          |            28 |                      292 |             255 |               37 |           87.33
      14 | PODE          | centro           |             5 |                       80 |              68 |               12 |           85.00
      15 | PATRIOTA      | nao classificado |             3 |                        4 |               3 |                1 |           75.00
(15 rows)


Q10 - Alinhamento interno por ano
 ano_dados | sigla_partido |    ideologia     | total_votos | votos_alinhados | pct_alinhamento 
-----------+---------------+------------------+-------------+-----------------+-----------------
      2023 | NOVO          | direita          |         771 |             766 |           99.35
      2023 | PSB           | esquerda         |         190 |             185 |           97.37
      2023 | PDT           | esquerda         |         230 |             218 |           94.78
      2023 | AVANTE        | centro           |          56 |              53 |           94.64
      2023 | PSD           | centro           |         192 |             181 |           94.27
      2023 | SOLIDARIEDADE | centro           |          13 |              12 |           92.31
      2023 | MDB           | centro           |         171 |             157 |           91.81
      2023 | PP            | direita          |         615 |             563 |           91.54
      2023 | PL            | direita          |       18634 |           16845 |           90.40
      2023 | UNIAO         | centro           |         912 |             816 |           89.47
      2023 | REPUBLICANOS  | direita          |         177 |             149 |           84.18
      2023 | PODE          | centro           |          61 |              51 |           83.61
      2023 | PATRIOTA      | nao classificado |           4 |               3 |           75.00
      2024 | AVANTE        | centro           |           1 |               1 |          100.00
      2024 | PRD           | centro           |           2 |               2 |          100.00
      2024 | SOLIDARIEDADE | centro           |           2 |               2 |          100.00
      2024 | NOVO          | direita          |         128 |             127 |           99.22
      2024 | REPUBLICANOS  | direita          |          78 |              76 |           97.44
      2024 | UNIAO         | centro           |         131 |             126 |           96.18
      2024 | PSB           | esquerda         |         358 |             343 |           95.81
      2024 | PDT           | esquerda         |          17 |              16 |           94.12
      2024 | PL            | direita          |        3179 |            2958 |           93.05
      2024 | PSD           | centro           |          43 |              40 |           93.02
      2024 | PP            | direita          |         103 |              94 |           91.26
      2024 | PODE          | centro           |          19 |              17 |           89.47
      2024 | MDB           | centro           |          34 |              30 |           88.24
      2025 | MDB           | centro           |           4 |               4 |          100.00
      2025 | NOVO          | direita          |         152 |             152 |          100.00
      2025 | PP            | direita          |          17 |              17 |          100.00
      2025 | PSD           | centro           |          13 |              13 |          100.00
      2025 | PDT           | esquerda         |         174 |             169 |           97.13
      2025 | UNIAO         | centro           |          64 |              61 |           95.31
      2025 | PSB           | esquerda         |         114 |             103 |           90.35
      2025 | PL            | direita          |        1057 |             873 |           82.59
      2025 | REPUBLICANOS  | direita          |          20 |              15 |           75.00
      2026 | MISSAO        | centro           |          42 |              42 |          100.00
      2026 | PRD           | centro           |           4 |               4 |          100.00
      2026 | SOLIDARIEDADE | centro           |           1 |               1 |          100.00
      2026 | NOVO          | direita          |         364 |             363 |           99.73
      2026 | PDT           | esquerda         |         473 |             456 |           96.41
      2026 | PSB           | esquerda         |         638 |             613 |           96.08
      2026 | PL            | direita          |        5410 |            4888 |           90.35
      2026 | PP            | direita          |          29 |              26 |           89.66
      2026 | REPUBLICANOS  | direita          |          17 |              15 |           88.24
      2026 | UNIAO         | centro           |           6 |               5 |           83.33
      2026 | PSD           | centro           |          10 |               8 |           80.00
(46 rows)


Q10 - Disciplina individual dos deputados
 sigla_partido |    ideologia     | id_deputado |            nome_deputado            | total_votos_com_diretriz | votos_alinhados | pct_disciplina_individual 
 PL            | direita          |      160758 | Domingos Sávio                      |                      296 |             290 |                     97.97
 PL            | direita          |      160640 | Eros Biondini                       |                      291 |             284 |                     97.59
 PL            | direita          |      220575 | Sonize Barbosa                      |                      162 |             158 |                     97.53
 PL            | direita          |      227991 | Dr Flávio                           |                       80 |              78 |                     97.50
 PL            | direita          |      227310 | Silvio Antonio                      |                      115 |             112 |                     97.39
 PL            | direita          |       74585 | Lincoln Portela                     |                      303 |             295 |                     97.36
 PL            | direita          |      220596 | Amália Barros                       |                      226 |             220 |                     97.35
 PL            | direita          |      204423 | André Ferreira                      |                      186 |             181 |                     97.31
 PL            | direita          |      161550 | Emidinho Madeira                    |                      221 |             215 |                     97.29
 PL            | direita          |      220595 | Coronel Fernanda                    |                      404 |             392 |                     97.03
 PL            | direita          |      220693 | Roberta Roma                        |                      261 |             253 |                     96.93
 PL            | direita          |       74273 | Jefferson Campos                    |                      309 |             299 |                     96.76
 PL            | direita          |      220594 | Coronel Assis                       |                       30 |              29 |                     96.67
 PL            | direita          |      204378 | Coronel Chrisóstomo                 |                      313 |             302 |                     96.49
 PL            | direita          |      166402 | Magda Mofatto                       |                      138 |             133 |                     96.38
 PL            | direita          |      221328 | Adilson Barroso                     |                      296 |             285 |                     96.28
 PL            | direita          |      178947 | Sóstenes Cavalcante                 |                      159 |             153 |                     96.23
 PL            | direita          |      179000 | Marcelo Álvaro Antônio              |                      262 |             252 |                     96.18
 PL            | direita          |      204390 | Professor Alcides                   |                      257 |             247 |                     96.11
 PL            | direita          |      160642 | Pastor Eurico                       |                      313 |             300 |                     95.85
 PL            | direita          |      178908 | Delegado Éder Mauro                 |                      327 |             313 |                     95.72
 PL            | direita          |      220628 | Mauricio do Vôlei                   |                      268 |             256 |                     95.52
 PL            | direita          |      220579 | Silvia Waiãpi                       |                      200 |             191 |                     95.50
