Q11 complemento - nuvem de palavras completa por partido
 ano_dados | sigla_partido |                      token                       | frequencia 
      2023 | AVANTE        | políticos                                        |         12
      2023 | AVANTE        | política                                         |         12
      2023 | AVANTE        | policial                                         |         12
      2023 | AVANTE        | pedofilia                                        |         12
      2023 | AVANTE        | patrimônio                                       |         12
      2023 | AVANTE        | outubro                                          |         12
      2023 | AVANTE        | oliveira                                         |         12
      2023 | AVANTE        | militar                                          |         12
      2023 | AVANTE        | juridicidade                                     |         12
      2023 | AVANTE        | internacional                                    |         12
      2023 | AVANTE        | infraestrutura                                   |         12
      2023 | AVANTE        | infantil                                         |         12
      2023 | AVANTE        | apoiamento                                       |         12
      2023 | AVANTE        | física                                           |         12
      2023 | AVANTE        | assistência                                      |         12
      2023 | AVANTE        | financeira                                       |         12
      2023 | AVANTE        | avantepe                                         |         12
      2023 | AVANTE        | empresa                                          |         12
      2023 | AVANTE        | empreendedorismo                                 |         12
      2023 | AVANTE        | benefício                                        |         12
      2023 | AVANTE        | eleitoral                                        |         12
      2023 | AVANTE        | distribuída                                      |         12
      2023 | AVANTE        | deputado                                         |         12
      2023 | AVANTE        | realizada                                        |         11
      2023 | AVANTE        | municipais                                       |         11
      2023 | AVANTE        | natureza                                         |         11
      2023 | AVANTE        | causa                                            |         11
      2023 | AVANTE        | prazo                                            |         11
      2023 | AVANTE        | destinada                                        |         11
      2023 | AVANTE        | concessão                                        |         11
      2023 | AVANTE        | digital                                          |         11
      2023 | AVANTE        | trabalho                                         |         11
      2023 | AVANTE        | economia                                         |         11
      2023 | AVANTE        | critério                                         |         11
      2023 | AVANTE        | endemias                                         |         11
      2023 | AVANTE        | enfermagem                                       |         11
      2023 | AVANTE        | todos                                            |         11
      2023 | AVANTE        | entidades                                        |         11
      2023 | AVANTE        | vítima                                           |         11
      2023 | AVANTE        | escolar                                          |         11
      2023 | AVANTE        | autorização                                      |         11
      2023 | AVANTE        | atividade                                        |         11
      2023 | AVANTE        | financeiros                                      |         11
      2023 | AVANTE        | financiamento                                    |         11
      2023 | AVANTE        | folha                                            |         11
      2023 | AVANTE        | arts                                             |         11
      2023 | AVANTE        | fundação                                         |         11
      2023 | AVANTE        | fundo                                            |         11
      2023 | AVANTE        | cultura                                          |         11
      2023 | AVANTE        | grupo                                            |         11
      2023 | AVANTE        | ordem                                            |         11
      2023 | AVANTE        | aposentadoria                                    |         11
      2023 | AVANTE        | igreja                                           |         11
      2023 | AVANTE        | proibição                                        |         11
      2023 | AVANTE        | req                                              |         11
      2023 | AVANTE        | advocacia                                        |         11
      2023 | AVANTE        | convocação                                       |         10
      2023 | AVANTE        | transparência                                    |         10
      2023 | AVANTE        | visa                                             |         10
      2023 | AVANTE        | regularização                                    |         10
      2023 | AVANTE        | religioso                                        |         10
      2023 | AVANTE        | república                                        |         10
      2023 | AVANTE        | vida                                             |         10
      2023 | AVANTE        | responsabilidade                                 |         10
      2023 | AVANTE        | retirada                                         |         10
      2023 | AVANTE        | valorização                                      |         10
      2023 | AVANTE        | informações                                      |         10
      2023 | AVANTE        | anual                                            |         10
      2023 | AVANTE        | imediata                                         |         10
      2023 | AVANTE        | guarda                                           |         10
      2023 | AVANTE        | setor                                            |         10
      2023 | AVANTE        | 1990                                             |         10
      2023 | AVANTE        | sexo                                             |         10
      2023 | AVANTE        | farias                                           |         10
      2023 | AVANTE        | autoria                                          |         10
      2023 | AVANTE        | empresas                                         |         10
      2023 | AVANTE        | trabalhadores                                    |         10
      2023 | AVANTE        | bruno                                            |         10
      2023 | AVANTE        | condição                                         |         10
      2023 | AVANTE        | descumprimento                                   |         10
