Q5 complemento - ranking completo de fornecedores
 ano_dados |                                                                   fornecedor                                                                   | qtd_lancamentos | total_pago  
      2023 | NB Produções LTDA                                                                                                                              |              11 |   198000.00
      2023 | SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA                                                                                                        |             480 |   197978.41
      2023 | POSTO DA TORRE EIRELI EPP                                                                                                                      |             887 |   196596.36
      2023 | P8 Relações Institucionais Ltda                                                                                                                |              17 |   196000.00
      2023 | 063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                                                                         |             966 |   194809.55
      2023 | Francisco C. T. Araújo - ME                                                                                                                    |              19 |   191900.00
      2023 | VEGA GRAF DIGITAL LTDA                                                                                                                         |               2 |   191880.00
      2023 | Instituto Mais Cidades Assessoria e Consultoria ltda                                                                                           |              24 |   191300.00
      2023 | LOCALIZA FLEET SA                                                                                                                              |              39 |   190599.75
      2023 | mav - veículos e serviços ltda                                                                                                                 |              33 |   190316.34
      2023 | CALGAN EDITORA GRAFICA LTDA                                                                                                                    |               5 |   190123.40
      2023 | BROADBRASIL LTDA                                                                                                                               |             213 |   188250.00
      2023 | RAUL IMÓVEIS - HARALAMOS BASSOUKOU                                                                                                             |              13 |   187681.75
      2023 | CAMPUS COMUNICAÇÃO E MARKETING LTDA                                                                                                            |               5 |   185420.00
      2023 | TJ COMUNICACAO LTDA                                                                                                                            |              36 |   185400.00
      2023 | JAYME E JAYME DE CASTRO PREST DE SERV LTDA                                                                                                     |              21 |   183910.00
      2023 | BRASPOR GRAFICA E EDITORA LTDA.                                                                                                                |               5 |   183481.10
      2023 | CEARA TAXI AEREO LTDA                                                                                                                          |               9 |   182280.00
      2023 | ML LOCAÇÕES EIRELI                                                                                                                             |              16 |   182033.34
      2023 | MULTIPLICAR E SERVIÇOS LTDA EPP                                                                                                                |              15 |   181734.70
      2023 | Claro NXT Telecomunicações S.A                                                                                                                 |             984 |   180584.07
      2023 | G. Ursini Publicidade LTDA                                                                                                                     |               6 |   180000.00
      2023 | César Setti                                                                                                                                    |               9 |   180000.00
      2023 | BRICS FILMES E EVENTOS                                                                                                                         |              10 |   179500.00
      2023 | ELZANIRA SOARES DA SILVA LTDA                                                                                                                  |              11 |   179300.00
      2023 | C A M DE FREITAS PRODUCOES                                                                                                                     |              11 |   177100.00
      2023 | CLIO CRIATIVA AGENCIA DE PUBLICIDADE E MARKETING LTDA                                                                                          |              12 |   177000.00
      2023 | AC 24 HORAS LTDA                                                                                                                               |              33 |   175400.00
      2023 | WAY SERVIÇOS DIGITAIS LTDA                                                                                                                     |               7 |   175000.00
      2023 | OLIVA.AG MARKETING LTDA                                                                                                                        |              15 |   175000.00
      2023 | .COM EMPREENDIMENTOS LTDA                                                                                                                      |               2 |   174800.00
      2023 | MAZUAD AUTOLOCADORA                                                                                                                            |              27 |   174318.66
      2023 | AGENCIA LIBERTY LTDA                                                                                                                           |              11 |   173000.00
      2023 | RENTAL LOCADORA DE BENS E VEICULOS LTDA EPP                                                                                                    |              32 |   172550.00
      2023 | CARRO E CARRO LOCADORA LTDA - ME                                                                                                               |              44 |   170826.00
      2023 | MATARAZZO AUDIO VISUAL LTDA                                                                                                                    |               9 |   170775.00
      2023 | BETA GRAFICA E EDITORA                                                                                                                         |               2 |   170000.00
      2023 | RIO AVE INVESTIMENTOS LTDA                                                                                                                     |              12 |   169025.50
      2023 | AVENIDA COMUNICACAO                                                                                                                            |              10 |   168421.30
      2023 | WE DO MEDIAS LTDA                                                                                                                              |               4 |   167500.00
      2023 | E DE MAGALHAES SILVA LTDA                                                                                                                      |              11 |   167155.88
      2023 | HENRICHS CONSULTORIA LTDA INTITUTO ALIA                                                                                                        |               9 |   166235.70
      2023 | MX LOAD LTDA ME                                                                                                                                |              10 |   165000.00
      2023 | G DOS S PESSOA                                                                                                                                 |              11 |   165000.00
      2023 | Austregesilo Junior Aragão Melo                                                                                                                |               1 |   164900.00
      2023 | ELMARA ROCHA DOS SANTOS NUNES LTDA                                                                                                             |               2 |   164660.30
      2023 | N N Y MARKETING DIRETO E SOLUÇÕES INTELIGENTES LTDA                                                                                            |              12 |   164120.00
      2023 | GRÁFICA E EDITORA WR-EIRELI-ME                                                                                                                 |               1 |   163791.00
      2023 | CONTRASTE EDITORA E INDUSTRIA GRAFICA                                                                                                          |               2 |   163000.00
      2023 | PARLANET WEB E TECNOLOGIA EIRELI                                                                                                               |             224 |   162389.33
      2023 | TRIPE COMUNICAÇÃO E SERVIÇOS DE CONSULTORIA EM PUBLICIDADE LTDA                                                                                |               6 |   162000.00
      2023 | JUNIO CESAR CARDOSO                                                                                                                            |              27 |   162000.00
      2023 | BRASAO VIGILANCIA E SEGURANCA LTDA                                                                                                             |              20 |   161559.11
      2023 | APROMO PRODUCOES MARKETING E SERVICOS LTDA                                                                                                     |              10 |   161300.00
      2023 | ATA AEROTAXI ABAETE LTDA                                                                                                                       |               8 |   160902.80
      2023 | INVENT COMUNICACAO E COMERCIO DE MATERIAS PARA COMUNICACAO VISUAL LTDA.                                                                        |               5 |   160792.00
      2023 | INSTITUTO DE PESQUISA DE OPINIÃO PÚBLICA DATALIZ LTDA                                                                                          |               7 |   160647.60
      2023 | N L FIALHO MACEDO ADMINISTRADORA - EPP                                                                                                         |               8 |   160000.00
      2023 | BALTA E MORALES LTDA                                                                                                                           |              11 |   160000.00
      2023 | AOOM SERVICOS E PRODUCOES                                                                                                                      |               5 |   160000.00
      2023 | SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC                                                                                               |            2612 |   159210.14
      2023 | Adm. Assis                                                                                                                                     |              10 |   159193.60
      2023 | AGÊNCIA BRANDING MARKETING DIRETO LTDA                                                                                                         |              19 |   159074.10
      2023 | A A DOS SANTOS MENDES                                                                                                                          |              11 |   158963.64
      2023 | STAMPA DIGITAL & MIDIA EXTERIOR LTDA                                                                                                           |               4 |   158910.00
