Ranking global - todos os anos
 id_deputado |                nome                 | sigla_uf | sigla_partido | gasto_total 
      160632 | Zé Silva                            | MG       | UNIAO         |  1624291.91
       74550 | João Leão                           | BA       | PP            |  1623888.06
      220667 | Pedro Campos                        | PE       | PSB           |  1621479.34
      220670 | Iza Arruda                          | PE       | MDB           |  1620891.01
      121948 | Adriano do Baldy                    | GO       | PP            |  1618308.93
      220528 | Dr. Victor Linhalis                 | ES       | PSB           |  1617640.65
      220615 | Pastor Henrique Vieira              | RJ       | PSOL          |  1616410.54
      204508 | Igor Timo                           | MG       | UNIAO         |  1614360.71
      204390 | Professor Alcides                   | GO       | PSDB          |  1613202.06
      205476 | Charles Fernandes                   | BA       | PSD           |  1611112.97
      141456 | Jilmar Tatto                        | SP       | PT            |  1610509.66
      220606 | Reimont                             | RJ       | PT            |  1606652.87
      220554 | Alexandre Lindenmeyer               | RS       | PT            |  1606529.87
      179000 | Marcelo Álvaro Antônio              | MG       | PL            |  1605173.89
      220704 | Carol Dartora                       | PR       | PT            |  1604385.83
      160666 | Félix Mendonça Júnior               | BA       | PDT           |  1602231.94
      204492 | Paulo Guedes                        | MG       | PT            |  1601841.93
       74084 | Raimundo Santos                     | PA       | PSD           |  1601638.99
      220572 | Marussa Boldrin                     | GO       | REPUBLICANOS  |  1599869.58
      204455 | Luiz Lima                           | RJ       | PL            |  1598688.99
      179001 | Márcio Biolchi                      | RS       | MDB           |  1598615.19
       74273 | Jefferson Campos                    | SP       | PL            |  1598311.45
       74171 | Chico Alencar                       | RJ       | PSOL          |  1597770.78
      204517 | Zé Vitor                            | MG       | PL            |  1595566.09
      204411 | Filipe Barros                       | PR       | PL            |  1595211.24
      178931 | Luciano Ducci                       | PR       | PSB           |  1593985.33
      204506 | Marcos Pereira                      | SP       | REPUBLICANOS  |  1593389.86
      220632 | Ana Pimentel                        | MG       | PT            |  1592799.36
      178987 | Orlando Silva                       | SP       | PCDOB         |  1592645.19
      220694 | Ricardo Maia                        | BA       | MDB           |  1592612.80
       74262 | Carlos Sampaio                      | SP       | PSDB          |  1588174.04
      220595 | Coronel Fernanda                    | MT       | PL            |  1587916.48
      204540 | Maria Rosas                         | SP       | REPUBLICANOS  |  1586044.28
      220560 | Thiago de Joaldo                    | SE       | REPUBLICANOS  |  1585276.13
      220682 | Tadeu Veneri                        | PR       | PT            |  1582650.02
      220625 | Delegada Ione                       | MG       | PL            |  1582507.55
      220550 | Mauricio Marcon                     | RS       | PL            |  1580945.65
      107970 | Ana Paula Leão                      | MG       | PP            |  1579335.04
       74585 | Lincoln Portela                     | MG       | PL            |  1575519.29
      220617 | Murillo Gouvea                      | RJ       | PSDB          |  1575014.98
      160629 | Romero Rodrigues                    | PB       | PODE          |  1574255.56
      204566 | Marreca Filho                       | MA       | PRD           |  1573773.16
      220649 | Delegado da Cunha                   | SP       | UNIAO         |  1572744.59
      160592 | Zeca Dirceu                         | PR       | PT            |  1572231.68
       74537 | Claudio Cajado                      | BA       | PP            |  1570599.81
      221148 | Alfredinho                          | SP       | PT            |  1570484.98
       74253 | Julio Lopes                         | RJ       | PP            |  1570084.59
      206018 | Célia Xakriabá                      | MG       | PSOL          |  1568308.02
      204511 | David Soares                        | SP       | UNIAO         |  1566559.04
