deputy_id;name;party;valid_votes;missing_votes;kept_after_filter;reason_if_removed
160673;Giovani Cherini;PL;824;62;True;
160674;Hugo Motta;REPUBLICANOS;308;264;True;
160758;Domingos Sávio;PL;804;46;True;
160976;Tiririca;PSD;766;19;True;
161440;Pezenti;MDB;919;0;True;
161550;Emidinho Madeira;PL;626;49;True;
162067;Kiko Celeguim;PT;844;5;True;
162332;Luiz Nishimori;PSD;729;2;True;
163321;Ronaldo Nogueira;REPUBLICANOS;617;0;True;
164360;Carmen Zanotto;CIDADANIA;97;1;True;
165470;Rodrigo Valadares;UNIAO;858;1;True;
166402;Magda Mofatto;PL;813;3;True;
171139;Loreny;SOLIDARIEDADE;38;0;True;
171617;Paulão;PT;871;8;True;
171623;Fabio Reis;PSD;380;0;True;
171786;Miguel Ângelo;PT;764;1;True;
175765;Ribamar Silva;PSD;386;0;True;
178829;Capitão Augusto;PL;850;67;True;
178831;André Abdon;PP;259;0;True;
178832;Leandre;PSD;37;0;True;
178835;Afonso Motta;PDT;932;0;True;
178843;Marx Beltrão;PP;762;0;True;
178854;Elmar Nascimento;UNIAO;296;6;True;
178857;Jorge Solla;PT;794;5;True;
178858;Mário Negromonte Jr.;PP;781;0;True;
178860;Paulo Azi;UNIAO;744;1;True;
178866;Luizianne Lins;PT;807;19;True;
178871;Evair Vieira de Melo;PP;857;0;True;
178873;Helder Salomão;PT;1091;5;True;
178876;Célio Silveira;MDB;667;1;True;
178881;Aluisio Mendes;REPUBLICANOS;837;0;True;
178882;André Fufuca;PP;85;0;True;
178884;Hildo Rocha;MDB;509;6;True;
178886;Juscelino Filho;PSDB;336;0;True;
178887;Rubens Pereira Júnior;PT;1038;1;True;
178895;Misael Varella;PSD;749;2;True;
178896;Newton Cardoso Jr;MDB;464;11;True;
178905;Fabio Garcia;UNIAO;114;0;True;
178908;Delegado Éder Mauro;PL;741;45;True;
178909;Hélio Leite;UNIAO;243;0;True;
178910;Joaquim Passarinho;PL;876;74;True;
178927;Aliel Machado;PV;530;1;True;
178929;Diego Garcia;UNIAO;896;3;True;
178931;Luciano Ducci;PSB;827;0;True;
