"deputy_id","name","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"220569","Silvye Alves","UNIAO",339,100,63,255,0.6474677920341492,0.7846763540290621,0.028766702860593796,-0.20022815465927124,0,0,0
"220570","Dr. Ismael Alexandrino","PSD",372,73,45,234,0.6828939318656921,0.8370165745856354,0.1794516146183014,0.18511848151683807,0,0,0
"220571","Daniel Agrobom","PL",466,67,64,358,0.7271274924278259,0.86282722513089,-0.14427436888217926,-0.06614939868450165,0,0,0
"220572","Marussa Boldrin","MDB",331,36,33,163,0.780622661113739,0.8774422735346359,0.14907515048980713,0.4378199577331543,0,0,0
"220573","Dorinaldo Malafaia","PDT",400,33,23,303,0.8201346397399902,0.9262187088274044,0.7082177996635437,-0.35737183690071106,0,0,0
"220574","Cabo Gilberto Silva","PL",422,35,43,453,0.8175440430641174,0.9181532004197271,-0.6177313327789307,-0.29712432622909546,0,0,0
"220575","Sonize Barbosa","PL",142,50,41,111,0.5493430495262146,0.7354651162790697,-0.06667589396238327,-0.09999522566795349,0,0,0
"220576","Alfredo Gaspar","PL",445,60,75,434,0.7362092137336731,0.8668639053254438,-0.36358919739723206,-0.6031242609024048,0,0,0
"220577","Augusto Puppio","MDB",344,18,13,231,0.8702260851860046,0.9488448844884488,0.41869139671325684,0.6725795865058899,0,0,0
"220578","Josenildo","PDT",512,46,46,368,0.8082122206687927,0.9053497942386831,0.6207165122032166,-0.1510704606771469,0,0,0
"220579","Silvia Waiãpi","PL",205,13,15,231,0.8610799908638,0.9396551724137931,-0.5852734446525574,-0.21995623409748077,0,0,0
"220580","Professora Goreth","PDT",255,16,17,198,0.8607171177864075,0.9320987654320988,0.7025789618492126,-0.17384788393974304,0,0,0
"220581","Luciano Amaral","PSD",502,37,26,335,0.8575990796089172,0.93,0.5351323485374451,0.24290859699249268,0,0,0
"220582","Daniel Barbosa","PP",396,32,25,263,0.8187844157218933,0.9203910614525139,0.6052685976028442,0.14076724648475647,0,0,0
"220583","Delegado Fabio Costa","PP",454,73,74,393,0.7119958996772766,0.852112676056338,-0.23747102916240692,-0.02956565096974373,0,0,0
"220584","Murilo Galdino","REPUBLICANOS",479,15,18,337,0.88649982213974,0.9611307420494699,0.40802595019340515,0.7495132088661194,0,0,0
"220585","Mersinho Lucena","PSD",418,15,9,249,0.8949001431465149,0.9652677279305355,0.3401920795440674,0.6651825308799744,0,0,0
"220586","Rafael Brito","MDB",445,36,41,299,0.7845849394798279,0.9062119366626066,0.5081954598426819,0.019483907148241997,0,0,0
"220587","Gerlen Diniz","PP",214,75,62,177,0.5755574107170105,0.740530303030303,-0.04892480745911598,-0.2887135148048401,0,0,0
"220588","Roberto Duarte","REPUBLICANOS",510,121,98,467,0.6759273409843445,0.8168896321070234,-0.014116540551185608,-0.023973891511559486,0,0,0
"220589","Eduardo Velloso","SOLIDARIEDADE",361,65,67,259,0.6874536275863647,0.824468085106383,-0.0887131616473198,0.08326259255409241,0,0,0
"220590","Coronel Ulysses","UNIAO",401,65,64,364,0.7245070934295654,0.8557046979865772,-0.26900380849838257,-0.07674289494752884,0,0,0
"220591","Meire Serafim","UNIAO",466,38,29,280,0.8081315159797668,0.9175891758917589,0.5395151972770691,0.22570191323757172,0,0,0
"220592","Zezinho Barbary","PP",448,27,13,289,0.8543024063110352,0.9485199485199485,0.3549972176551819,0.4140684902667999,0,0,0
"220593","Abilio Brunini","PL",139,16,18,144,0.781244158744812,0.8927444794952681,-0.4808899760246277,-0.4355158805847168,0,0,0
"220594","Coronel Assis","PL",445,32,35,455,0.8273462653160095,0.9307135470527405,-0.47552722692489624,-0.3016718626022339,0,0,0
"220595","Coronel Fernanda","PL",470,18,30,420,0.8659024834632874,0.9488272921108742,-0.40767231583595276,-0.12179834395647049,0,0,0
"220596","Amália Barros","PL",122,5,13,129,0.8806798458099365,0.9330855018587361,-0.5828500390052795,-0.25430965423583984,0,0,0
"220597","Thiago Flores","REPUBLICANOS",375,81,93,280,0.6518426537513733,0.7901085645355851,-0.10017617046833038,-0.084437794983387,0,0,0
"220598","Tarcísio Motta","PSOL",463,39,27,480,0.8607147336006165,0.9345887016848364,0.7023119330406189,-0.7118692994117737,0,0,0
"220599","Marcelo Crivella","REPUBLICANOS",518,34,42,327,0.7885209321975708,0.9174809989142236,0.2849627435207367,0.9229109287261963,0,0,0
"220600","Lebrão","UNIAO",275,21,22,177,0.7744949460029602,0.9131313131313131,0.280425488948822,0.24948634207248688,0,0,0
"220601","Washington Quaquá","PT",171,1,3,108,0.948285698890686,0.9858657243816255,0.8557358980178833,0.10715679079294205,0,0,0
"220602","Dimas Gadelha","PT",481,3,8,345,0.9354469776153564,0.986857825567503,0.8944780230522156,0.011229443363845348,0,0,0
"220603","Dani Cunha","PL",445,54,38,283,0.7361899614334106,0.8878048780487805,0.22343039512634277,0.5640488862991333,0,0,0
"220604","Marcos Tavares","PDT",432,41,37,300,0.8170936107635498,0.9037037037037037,0.5923718214035034,-0.09385278075933456,0,0,0
"220605","Bandeira de Mello","PV",475,30,26,394,0.847969651222229,0.9394594594594594,0.801338255405426,-0.334516704082489,0,0,0
"220606","Reimont","PT",502,7,8,376,0.9412316679954529,0.9832026875699889,0.9113368988037109,-0.0542541965842247,0,0,0
"220607","Max Lemos","PDT",506,31,38,344,0.8268528580665588,0.9249183895538629,0.5601435303688049,0.01795532926917076,0,0,0
"220608","Cristiane Lopes","PODE",393,103,93,308,0.6423719525337219,0.78149386845039015,-0.04051999747753143,-0.2567836344242096,0,0,0
"220609","Maurício Carvalho","UNIAO",375,71,77,304,0.6948233246803284,0.8210399032648126,-0.09895126521587372,-0.2542817294597626,0,0,0
"220610","Dr. Fernando Máximo","UNIAO",368,46,55,324,0.7631160020828247,0.8726355611601513,-0.3249797224998474,-0.22155159711837769,0,0,0
"220611","General Pazuello","PL",433,22,34,380,0.8519387245178223,0.9355581127733027,-0.38505440950393677,-0.1275503933429718,0,0,0
"220612","Bebeto","PP",569,31,17,368,0.8844718337059021,0.9512690355329949,0.34791362285614014,0.697321355342865,0,0,0
"220613","Roberto Monteiro Pai","PL",415,21,36,346,0.833856463432312,0.9303178484107579,-0.3540486693382263,0.06898196786642075,0,0,0
"220614","Dr. Daniel Soranz","PSD",87,19,16,62,0.6244292855262756,0.8097826086956522,0.5577823519706726,-0.15016356110572815,0,0,0
"220615","Pastor Henrique Vieira","PSOL",456,33,20,439,0.8755201697349548,0.9440928270042194,0.7460541129112244,-0.665885329246521,0,0,0
"220616","Luciano Vieira","PSDB",421,48,33,251,0.7365922927856445,0.8924302788844621,0.24091565608978271,0.4250858724117279,0,0,0
"220617","Murillo Gouvea","UNIAO",512,26,24,319,0.848655641078949,0.9432463110102156,0.3352932631969452,0.381337970495224,0,0,0
"220618","Sargento Portugal","PODE",410,122,117,237,0.5940823554992676,0.7302483069977427,0.0696454718708992,0.04198478162288666,0,0,0
"220619","Delegado Ramagem","PL",406,15,29,442,0.8825152516365051,0.9506726457399103,-0.6313438415527344,-0.33837565779685974,0,0,0
"220620","Rosângela Reis","PL",464,56,63,330,0.7404189705848694,0.8696604600219058,-0.13597826659679413,0.15453696250915527,0,0,0
"220621","Sargento Gonçalves","PL",427,12,23,445,0.898949921131134,0.9614112458654906,-0.6695118546485901,-0.43508991599082947,0,0,0
"220622","Nely Aquino","PODE",437,23,29,269,0.8143784403800964,0.9313984168865436,0.41429388523101807,0.28129658102989197,0,0,0
"220623","Duda Salabert","PSOL",396,19,29,379,0.8479118347167969,0.9416767922235723,0.7370824217796326,-0.6758028864860535,0,0,0
"220624","Robinson Faria","PP",568,34,63,348,0.7598154544830322,0.9042448173741362,0.2395806461572647,0.38441982865333557,0,0,0
"220625","Delegada Ione","AVANTE",395,89,43,245,0.6771104335784912,0.8290155440414507,0.1555204540491104,0.04078847914934158,0,0,0
"220626","Rafael Simoes","UNIAO",430,88,76,287,0.681910514831543,0.8138479001135074,0.05076805129647255,0.04843437671661377,0,0,0
"220627","Paulinho Freire","UNIAO",200,39,34,118,0.6456608176231384,0.8132992327365729,0.036264341324567795,-0.08286885917186737,0,0,0
"220628","Mauricio do Vôlei","PL",397,18,22,372,0.8607960343360901,0.9505562422744128,-0.4777323007583618,-0.13124243915081024,0,0,0
"220629","Dandara","PT",399,6,10,298,0.9271825551986694,0.9775596072931276,0.8813428282737732,-0.049848079681396484,0,0,0
"220630","Pedro Aihara","PP",414,87,62,294,0.6852524280548096,0.8261376896149358,0.2056111842393875,-0.1893596649169922,0,0,0
"220631","Samuel Viana","REPUBLICANOS",506,36,19,287,0.8197416663169861,0.9351415094339622,0.2706051170825958,0.6819701790809631,0,0,0
"220632","Ana Pimentel","PT",488,9,7,395,0.9305263757705688,0.982202447163515,0.9207999110221863,-0.12426169961690903,0,0,0
"220633","Ricardo Salles","NOVO",248,30,22,322,0.8329198956489563,0.9163987138263665,-0.947179913520813,-0.2776203155517578,0,0,0
"220634","Marcelo Lima","PSB",100,8,12,66,0.754019021987915,0.8924731182795699,0.6287345886230469,-0.15362673997879028,0,0,0
"220635","Bruno Ganem","PODE",492,66,54,307,0.7290643453598022,0.8694232861806311,0.37131616473197937,-0.1008833721280098,0,0,0
"220637","Marina Silva","REDE",20,1,0,10,0.9539909362792969,0.967741935483871,0.7748765349388123,-0.6321125626564026,0,0,0
"220638","Antonio Carlos Rodrigues","PL",374,159,142,209,0.5364835262298584,0.6595022624434389,0.15031138062477112,-0.3329704701900482,0,0,0
"220639","Guilherme Boulos","PSOL",295,23,12,317,0.8593237400054932,0.9459041731066461,0.7162235379219055,-0.6978709101676941,0,0,0
"220640","Juliana Cardoso","PT",450,9,19,328,0.8719620704650879,0.9652605459057072,0.8741676807403564,-0.1832287311553955,0,0,0
"220641","Rodrigo Gambale","PODE",506,38,44,319,0.7854143381118774,0.9095920617420066,0.3933509588241577,0.18756502866744995,0,0,0
"220642","Delegado Bruno Lima","PODE",259,70,26,211,0.6942665576934814,0.8303886925795053,0.2827819585800171,-0.13744229078292847,0,0,0
"220643","Sônia Guajajara","PSOL",19,1,0,15,0.9391477108001709,0.9714285714285714,0.899090588092804,-0.43776270747184753,0,0,0
"220644","Rosangela Moro","UNIAO",412,67,45,401,0.7619941234588623,0.8789189189189189,-0.3845265209674835,-0.47147321701049805,0,0,0
"220645","Erika Hilton","PSOL",338,25,20,323,0.8695257902145386,0.9362606232294618,0.7352986931800842,-0.6777431964874268,0,0,0
"220646","Felipe Becari","PODE",325,43,29,244,0.7669569253921509,0.8876755070202809,0.4555409252643585,-0.09084904193878174,0,0,0
"220647","Mauricio Neves","PP",313,38,17,201,0.8102753162384033,0.9033391915641477,0.24445076286792755,0.7216741442680359,0,0,0
"220648","Marangoni","UNIAO",399,46,16,279,0.7965369820594788,0.9162162162162162,0.2901647090911865,0.19381611049175262,0,0,0
"220649","Delegado da Cunha","UNIAO",355,78,59,236,0.7057866454124451,0.8118131868131868,0.086788609623909,0.25830399990081787,0,0,0
"220650","Paulo Alexandre Barbosa","PSDB",411,97,66,286,0.6453441381454468,0.8104651162790698,0.21986983716487885,-0.3218604326248169,0,0,0
"220651","Simone Marquetto","MDB",375,55,63,178,0.7050991058349609,0.8241430700447094,0.09612078964710236,0.12909407913684845,0,0,0
"220652","Delegado Palumbo","PODE",460,41,38,462,0.8198547959327698,0.9210789210789211,-0.536767303943634,-0.8437303900718689,0,0,0
"220653","Fábio Teruel","MDB",356,164,108,253,0.5242087244987488,0.6912599318955732,0.12428772449493408,-0.3234259784221649,0,0,0
"220654","Delegado Paulo Bilynskyj","PL",472,18,30,518,0.8827813863754272,0.953757225433526,-0.7219148278236389,-0.49559926986694336,0,0,0
"220655","Mario Frias","PL",312,16,19,348,0.8822974562644958,0.9496402877697842,-0.6754628419876099,-0.39049792289733887,0,0,0
"220656","Fernanda Pessoa","PSD",490,40,24,376,0.810010552406311,0.9311827956989247,0.29369932413101196,0.4116823971271515,0,0,0
"220657","André Fernandes","PL",331,14,17,353,0.87454754114151,0.9566433566433566,-0.6035491228103638,-0.5076166987419128,0,0,0
"220658","Luiz Gastão","PSD",444,37,19,282,0.8098593950271606,0.928388746803069,0.33200204372406006,0.2448965609073639,0,0,0
"220659","Dayany Bittencourt","UNIAO",358,55,75,346,0.6970455050468445,0.8441247002398081,-0.26139020919799805,-0.39230141043663025,0,0,0
"220660","Yury do Paredão","MDB",368,32,23,213,0.8094468116760254,0.9135220125786163,0.3942786157131195,0.7131161689758301,0,0,0
"220661","Matheus Noronha","PL",389,37,51,243,0.7544882893562317,0.8777777777777778,-0.12848719954490662,0.16276797652244568,0,0,0
"220662","Lucas Ramos","PSB",490,26,27,369,0.8540502786636353,0.9418859649122807,0.6799066066741943,-0.07578917592763901,0,0,0
"220663","Eriberto Medeiros","PSB",463,19,31,321,0.8339163661003113,0.9400479616306955,0.6384997367858887,-0.0665411725640297,0,0,0
"220664","Guilherme Uchoa","PSD",470,47,49,294,0.7776971459388733,0.8883720930232558,0.540496289730072,0.058464571833610535,0,0,0
"220665","Clarissa Tércio","PP",396,20,31,367,0.8457431197166443,0.9373464373464373,-0.45665547251701355,-0.23936094343662262,0,0,0
"220666","Coronel Meira","PL",462,20,35,441,0.8535332679748535,0.94258872651357,-0.47118380665779114,-0.2490931898355484,0,0,0
"220667","Pedro Campos","PSB",508,19,28,382,0.880620002746582,0.9498399146211313,0.7875019311904907,-0.21063798666000366,0,0,0
