"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:26";"Não";"160559";"https://dadosabertos.camara.leg.br/api/v2/deputados/160559";"Alceu Moreira";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/160559.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:12:30";"Sim";"204501";"https://dadosabertos.camara.leg.br/api/v2/deputados/204501";"Alencar Santana";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204501.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:42";"Não";"220542";"https://dadosabertos.camara.leg.br/api/v2/deputados/220542";"Alexandre Guimarães";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"TO";"57";"https://www.camara.leg.br/internet/deputado/bandep/220542.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:14:59";"Não";"160545";"https://dadosabertos.camara.leg.br/api/v2/deputados/160545";"Alexandre Leite";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/160545.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:57";"Não";"221148";"https://dadosabertos.camara.leg.br/api/v2/deputados/221148";"Alfredinho";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/221148.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:34";"Sim";"220576";"https://dadosabertos.camara.leg.br/api/v2/deputados/220576";"Alfredo Gaspar";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"AL";"57";"https://www.camara.leg.br/internet/deputado/bandep/220576.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:30";"Não";"74057";"https://dadosabertos.camara.leg.br/api/v2/deputados/74057";"Alice Portugal";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/74057.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:16:48";"Não";"178881";"https://dadosabertos.camara.leg.br/api/v2/deputados/178881";"Aluisio Mendes";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"MA";"57";"https://www.camara.leg.br/internet/deputado/bandep/178881.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:12:31";"Não";"220707";"https://dadosabertos.camara.leg.br/api/v2/deputados/220707";"Amanda Gentil";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"MA";"57";"https://www.camara.leg.br/internet/deputado/bandep/220707.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:51";"Não";"204356";"https://dadosabertos.camara.leg.br/api/v2/deputados/204356";"Amaro Neto";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"ES";"57";"https://www.camara.leg.br/internet/deputado/bandep/204356.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:33";"Não";"220715";"https://dadosabertos.camara.leg.br/api/v2/deputados/220715";"Amom Mandel";"CIDADANIA";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"AM";"57";"https://www.camara.leg.br/internet/deputado/bandep/220715.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:24";"Não";"107970";"https://dadosabertos.camara.leg.br/api/v2/deputados/107970";"Ana Paula Leão";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/107970.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:12:44";"Sim";"220556";"https://dadosabertos.camara.leg.br/api/v2/deputados/220556";"Ana Paula Lima";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SC";"57";"https://www.camara.leg.br/internet/deputado/bandep/220556.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:11";"Não";"220632";"https://dadosabertos.camara.leg.br/api/v2/deputados/220632";"Ana Pimentel";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/220632.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:38";"Não";"204423";"https://dadosabertos.camara.leg.br/api/v2/deputados/204423";"André Ferreira";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"PE";"57";"https://www.camara.leg.br/internet/deputado/bandep/204423.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:08";"Não";"133439";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"André Figueiredo";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"CE";"57";"https://www.camara.leg.br/internet/deputado/bandep/133439.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:05";"Não";"178882";"https://dadosabertos.camara.leg.br/api/v2/deputados/178882";"André Fufuca";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"MA";"57";"https://www.camara.leg.br/internet/deputado/bandep/178882.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:16:58";"Não";"204515";"https://dadosabertos.camara.leg.br/api/v2/deputados/204515";"André Janones";"AVANTE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/204515.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:13:03";"Não";"123756";"https://dadosabertos.camara.leg.br/api/v2/deputados/123756";"Antônia Lúcia";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"AC";"57";"https://www.camara.leg.br/internet/deputado/bandep/123756.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:56";"Não";"220544";"https://dadosabertos.camara.leg.br/api/v2/deputados/220544";"Antonio Andrade";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"TO";"57";"https://www.camara.leg.br/internet/deputado/bandep/220544.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:11";"Não";"220638";"https://dadosabertos.camara.leg.br/api/v2/deputados/220638";"Antonio Carlos Rodrigues";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/220638.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:03";"Não";"220675";"https://dadosabertos.camara.leg.br/api/v2/deputados/220675";"Antônio Doido";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"PA";"57";"https://www.camara.leg.br/internet/deputado/bandep/220675.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:51";"Não";"73433";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"Arlindo Chinaglia";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/73433.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:58";"Não";"141391";"https://dadosabertos.camara.leg.br/api/v2/deputados/141391";"Arnaldo Jardim";"CIDADANIA";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/141391.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:07:52";"Artigo 17";"160541";"https://dadosabertos.camara.leg.br/api/v2/deputados/160541";"Arthur Lira";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"AL";"57";"https://www.camara.leg.br/internet/deputado/bandep/160541.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:13";"Não";"74090";"https://dadosabertos.camara.leg.br/api/v2/deputados/74090";"Átila Lins";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"AM";"57";"https://www.camara.leg.br/internet/deputado/bandep/74090.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:32";"Não";"123086";"https://dadosabertos.camara.leg.br/api/v2/deputados/123086";"Átila Lira";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"PI";"57";"https://www.camara.leg.br/internet/deputado/bandep/123086.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:37";"Não";"160665";"https://dadosabertos.camara.leg.br/api/v2/deputados/160665";"Augusto Coutinho";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"PE";"57";"https://www.camara.leg.br/internet/deputado/bandep/160665.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:35";"Não";"220577";"https://dadosabertos.camara.leg.br/api/v2/deputados/220577";"Augusto Puppio";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"AP";"57";"https://www.camara.leg.br/internet/deputado/bandep/220577.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:48";"Não";"160512";"https://dadosabertos.camara.leg.br/api/v2/deputados/160512";"Aureo Ribeiro";"SOLIDARIEDADE";"https://dadosabertos.camara.leg.br/api/v2/partidos/37904";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/160512.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:13:08";"Não";"69871";"https://dadosabertos.camara.leg.br/api/v2/deputados/69871";"Bacelar";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/69871.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:13:13";"Não";"178975";"https://dadosabertos.camara.leg.br/api/v2/deputados/178975";"Baleia Rossi";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/178975.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:12:40";"Não";"220605";"https://dadosabertos.camara.leg.br/api/v2/deputados/220605";"Bandeira de Mello";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/220605.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:12";"Não";"220612";"https://dadosabertos.camara.leg.br/api/v2/deputados/220612";"Bebeto";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/220612.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:19";"Não";"73701";"https://dadosabertos.camara.leg.br/api/v2/deputados/73701";"Benedita da Silva";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/73701.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:45";"Não";"109429";"https://dadosabertos.camara.leg.br/api/v2/deputados/109429";"Benes Leocádio";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"RN";"57";"https://www.camara.leg.br/internet/deputado/bandep/109429.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:16";"Não";"204358";"https://dadosabertos.camara.leg.br/api/v2/deputados/204358";"Beto Pereira";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"MS";"57";"https://www.camara.leg.br/internet/deputado/bandep/204358.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:13:09";"Não";"204374";"https://dadosabertos.camara.leg.br/api/v2/deputados/204374";"Bia Kicis";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"DF";"57";"https://www.camara.leg.br/internet/deputado/bandep/204374.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:18";"Não";"204388";"https://dadosabertos.camara.leg.br/api/v2/deputados/204388";"Bibo Nunes";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/204388.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:36";"Não";"160538";"https://dadosabertos.camara.leg.br/api/v2/deputados/160538";"Bohn Gass";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/160538.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:16";"Não";"220635";"https://dadosabertos.camara.leg.br/api/v2/deputados/220635";"Bruno Ganem";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/220635.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:16";"Não";"220574";"https://dadosabertos.camara.leg.br/api/v2/deputados/220574";"Cabo Gilberto Silva";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"PB";"57";"https://www.camara.leg.br/internet/deputado/bandep/220574.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:12:37";"Sim";"220548";"https://dadosabertos.camara.leg.br/api/v2/deputados/220548";"Camila Jara";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"MS";"57";"https://www.camara.leg.br/internet/deputado/bandep/220548.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:43";"Não";"220690";"https://dadosabertos.camara.leg.br/api/v2/deputados/220690";"Capitão Alden";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/220690.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:26";"Não";"178829";"https://dadosabertos.camara.leg.br/api/v2/deputados/178829";"Capitão Augusto";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/178829.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:53";"Não";"204507";"https://dadosabertos.camara.leg.br/api/v2/deputados/204507";"Carla Zambelli";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204507.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:36";"Não";"204361";"https://dadosabertos.camara.leg.br/api/v2/deputados/204361";"Carlos Chiodini";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"SC";"57";"https://www.camara.leg.br/internet/deputado/bandep/204361.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:13:45";"Não";"178962";"https://dadosabertos.camara.leg.br/api/v2/deputados/178962";"Carlos Gomes";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/178962.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:13:17";"Sim";"178993";"https://dadosabertos.camara.leg.br/api/v2/deputados/178993";"Carlos Henrique Gaguim";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"TO";"57";"https://www.camara.leg.br/internet/deputado/bandep/178993.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:28";"Não";"204460";"https://dadosabertos.camara.leg.br/api/v2/deputados/204460";"Carlos Jordy";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/204460.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:12:49";"Não";"74262";"https://dadosabertos.camara.leg.br/api/v2/deputados/74262";"Carlos Sampaio";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/74262.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:16";"Sim";"204426";"https://dadosabertos.camara.leg.br/api/v2/deputados/204426";"Carlos Veras";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PE";"57";"https://www.camara.leg.br/internet/deputado/bandep/204426.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:31";"Não";"141398";"https://dadosabertos.camara.leg.br/api/v2/deputados/141398";"Carlos Zarattini";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/141398.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:14:20";"Não";"164360";"https://dadosabertos.camara.leg.br/api/v2/deputados/164360";"Carmen Zanotto";"CIDADANIA";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"SC";"57";"https://www.camara.leg.br/internet/deputado/bandep/164360.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:00";"Não";"204369";"https://dadosabertos.camara.leg.br/api/v2/deputados/204369";"Caroline de Toni";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SC";"57";"https://www.camara.leg.br/internet/deputado/bandep/204369.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:19";"Não";"220699";"https://dadosabertos.camara.leg.br/api/v2/deputados/220699";"Castro Neto";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"PI";"57";"https://www.camara.leg.br/internet/deputado/bandep/220699.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:35";"Não";"178876";"https://dadosabertos.camara.leg.br/api/v2/deputados/178876";"Célio Silveira";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"GO";"57";"https://www.camara.leg.br/internet/deputado/bandep/178876.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:58";"Não";"204488";"https://dadosabertos.camara.leg.br/api/v2/deputados/204488";"Célio Studart";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"CE";"57";"https://www.camara.leg.br/internet/deputado/bandep/204488.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:14:31";"Não";"73441";"https://dadosabertos.camara.leg.br/api/v2/deputados/73441";"Celso Russomanno";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/73441.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:48";"Sim";"204504";"https://dadosabertos.camara.leg.br/api/v2/deputados/204504";"Cezinha de Madureira";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204504.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:13:19";"Não";"74171";"https://dadosabertos.camara.leg.br/api/v2/deputados/74171";"Chico Alencar";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/74171.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:51";"Não";"204462";"https://dadosabertos.camara.leg.br/api/v2/deputados/204462";"Chris Tonietto";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/204462.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:50";"Não";"220665";"https://dadosabertos.camara.leg.br/api/v2/deputados/220665";"Clarissa Tércio";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"PE";"57";"https://www.camara.leg.br/internet/deputado/bandep/220665.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:13";"Não";"74537";"https://dadosabertos.camara.leg.br/api/v2/deputados/74537";"Claudio Cajado";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/74537.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:42";"Não";"141408";"https://dadosabertos.camara.leg.br/api/v2/deputados/141408";"Cleber Verde";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"MA";"57";"https://www.camara.leg.br/internet/deputado/bandep/141408.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:12:57";"Não";"88256";"https://dadosabertos.camara.leg.br/api/v2/deputados/88256";"Clodoaldo Magalhães";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"PE";"57";"https://www.camara.leg.br/internet/deputado/bandep/88256.jpg"
