 ano_dados | id_votacao  |                        titulo_proposicao                         | ideologia_score_medio | ideologia_faixa  | campo_ideologico | votos_sim | votos_nao | outros | total_votos | pct_sim 
-----------+-------------+------------------------------------------------------------------+-----------------------+------------------+------------------+-----------+-----------+--------+-------------+---------
      2023 | 1548579-109 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 3.773 | Centro-esquerda  | esquerda         |         1 |        27 |      0 |          28 |     3.6
      2023 | 1548579-109 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 6.650 | Centro-direita   | direita          |         4 |        76 |      0 |          80 |     5.0
      2023 | 1548579-109 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.251 | Direita          | direita          |        25 |        99 |      2 |         126 |    19.8
      2023 | 1548579-109 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.782 | Extrema direita  | direita          |         9 |         9 |     53 |          71 |    12.7
      2023 | 1548579-114 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 1.415 | Extrema esquerda | esquerda         |        13 |         0 |      0 |          13 |   100.0
      2023 | 1548579-114 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 2.620 | Esquerda         | esquerda         |         1 |        60 |      0 |          61 |     1.6
      2023 | 1548579-114 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 3.793 | Centro-esquerda  | esquerda         |         1 |        29 |      0 |          30 |     3.3
      2023 | 1548579-114 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 6.643 | Centro-direita   | direita          |         6 |        80 |      0 |          86 |     7.0
      2023 | 1548579-114 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.249 | Direita          | direita          |        27 |       102 |      1 |         130 |    20.8
      2023 | 1548579-114 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.778 | Extrema direita  | direita          |         8 |        10 |     48 |          66 |    12.1
      2023 | 1548579-122 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 1.415 | Extrema esquerda | esquerda         |        11 |         1 |      0 |          12 |    91.7
      2023 | 1548579-122 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 2.605 | Esquerda         | esquerda         |         1 |        60 |      0 |          61 |     1.6
      2023 | 1548579-122 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 3.787 | Centro-esquerda  | esquerda         |         0 |        31 |      0 |          31 |     0.0
      2023 | 1548579-122 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 6.645 | Centro-direita   | direita          |         6 |        82 |      0 |          88 |     6.8
      2023 | 1548579-122 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.259 | Direita          | direita          |        28 |       109 |      1 |         138 |    20.3
      2023 | 1548579-122 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.781 | Extrema direita  | direita          |         5 |        12 |     61 |          78 |     6.4
      2023 | 1548579-126 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 1.415 | Extrema esquerda | esquerda         |         0 |        12 |      0 |          12 |     0.0
      2023 | 1548579-126 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 2.596 | Esquerda         | esquerda         |        65 |         0 |      0 |          65 |   100.0
      2023 | 1548579-126 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 3.802 | Centro-esquerda  | esquerda         |        32 |         1 |      0 |          33 |    97.0
      2023 | 1548579-126 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 6.633 | Centro-direita   | direita          |        80 |         5 |      1 |          86 |    93.0
      2023 | 1548579-126 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.236 | Direita          | direita          |       111 |        20 |      1 |         132 |    84.1
      2023 | 1548579-126 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.786 | Extrema direita  | direita          |        11 |        65 |      6 |          82 |    13.4
