"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano";"proposicao_titulo"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600219";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600219";"Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025";"1053";"RPD";"1";"";"RPD 1 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600230";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600230";"Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025";"328";"RPD";"2";"";"RPD 2 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600231";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600231";"Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025";"1051";"RPD";"3";"";"RPD 3 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600232";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600232";"Requerimento de Votação Nominal - MPV 1313/2025";"332";"RPD";"4";"";"RPD 4 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600243";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600243";"Destaque para Votação em Separado - MPV 1313/2025";"846";"DTQ";"2";"";"DTQ 2 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600244";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600244";"Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025";"1053";"RPD";"5";"";"RPD 5 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600245";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600245";"Destaque para Votação em Separado - MPV 1313/2025";"846";"DTQ";"3";"";"DTQ 3 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600246";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600246";"Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025";"1053";"RPD";"6";"";"RPD 6 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600252";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600252";"Destaque para Votação em Separado - MPV 1313/2025";"846";"DTQ";"4";"";"DTQ 4 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600253";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600253";"Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025";"1053";"RPD";"7";"";"RPD 7 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600264";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600264";"Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025";"892";"RPD";"8";"";"RPD 8 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600265";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600265";"Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025";"1041";"RPD";"9";"";"RPD 9 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600266";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600266";"Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025";"467";"RPD";"10";"";"RPD 10 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600267";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600267";"Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025";"1043";"RPD";"11";"";"RPD 11 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600268";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600268";"Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025";"328";"RPD";"12";"";"RPD 12 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600269";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600269";"Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025";"1051";"RPD";"13";"";"RPD 13 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600270";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600270";"Requerimento de Votação Nominal - MPV 1313/2025";"332";"RPD";"14";"";"RPD 14 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600274";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600274";"Requerimento Procedimental Genérico - MPV 1313/2025";"890";"RPD";"15";"";"RPD 15 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2601418";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2601418";"Redação Final ao MPV 1313/2025";"197";"RDF";"1";"";"RDF 1 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600192";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192";"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";"872";"ERD";"1";"";"ERD 1 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600217";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600217";"Destaque para Votação em Separado - MPV 1313/2025";"846";"DTQ";"1";"";"DTQ 1 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600219";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600219";"Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025";"1053";"RPD";"1";"";"RPD 1 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600230";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600230";"Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025";"328";"RPD";"2";"";"RPD 2 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600231";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600231";"Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025";"1051";"RPD";"3";"";"RPD 3 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600232";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600232";"Requerimento de Votação Nominal - MPV 1313/2025";"332";"RPD";"4";"";"RPD 4 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600243";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600243";"Destaque para Votação em Separado - MPV 1313/2025";"846";"DTQ";"2";"";"DTQ 2 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600244";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600244";"Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025";"1053";"RPD";"5";"";"RPD 5 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600245";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600245";"Destaque para Votação em Separado - MPV 1313/2025";"846";"DTQ";"3";"";"DTQ 3 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600246";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600246";"Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025";"1053";"RPD";"6";"";"RPD 6 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600252";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600252";"Destaque para Votação em Separado - MPV 1313/2025";"846";"DTQ";"4";"";"DTQ 4 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600253";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600253";"Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025";"1053";"RPD";"7";"";"RPD 7 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600264";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600264";"Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025";"892";"RPD";"8";"";"RPD 8 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600265";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600265";"Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025";"1041";"RPD";"9";"";"RPD 9 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600266";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600266";"Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025";"467";"RPD";"10";"";"RPD 10 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600267";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600267";"Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025";"1043";"RPD";"11";"";"RPD 11 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600268";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600268";"Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025";"328";"RPD";"12";"";"RPD 12 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600269";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600269";"Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025";"1051";"RPD";"13";"";"RPD 13 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600270";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600270";"Requerimento de Votação Nominal - MPV 1313/2025";"332";"RPD";"14";"";"RPD 14 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600274";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600274";"Requerimento Procedimental Genérico - MPV 1313/2025";"890";"RPD";"15";"";"RPD 15 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600289";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600289";"Requerimento Procedimental Genérico - MPV 1313/2025";"890";"RPD";"16";"";"RPD 16 => MPV 1313/2025"
"2557414-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-29";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2601418";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2601418";"Redação Final ao MPV 1313/2025";"197";"RDF";"1";"";"RDF 1 => MPV 1313/2025"
"2557414-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-30";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600192";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192";"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";"872";"ERD";"1";"";"ERD 1 => MPV 1313/2025"
"2557414-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-30";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600217";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600217";"Destaque para Votação em Separado - MPV 1313/2025";"846";"DTQ";"1";"";"DTQ 1 => MPV 1313/2025"
