      escolaridade       | id_deputado |                         nome                        
 Ensino Médio           |      218086 | ELIANE DE SOUSA ALVES                               
 Ensino Médio           |      220665 | ERICA CLARISSA BORBA CORDEIRO DE MOURA              
 Ensino Médio           |      220585 | FRANCISCO EMERSON ASSIS DE LUCENA                   
 Ensino Médio           |      220681 | FÁBIO HENRIQUE DIAS DE MACEDO                       
 Ensino Médio           |      204456 | GUTEMBERG REIS DE OLIVEIRA                          
 Ensino Médio           |      220563 | ICARO BARBOSA COSTA                                 
 Ensino Médio           |      220567 | JEFERSON RODRIGUES LEMOS                            
 Ensino Médio           |      178970 | JOAO SOMARIVA DANIEL                                
 Ensino Médio           |      227660 | JOSENITO VITALE DE JESUS                            
 Ensino Médio           |      215043 | JOSIVALDO DOS SANTOS MELO                           
 Ensino Médio           |      204476 | JOÃO FRANCISCO INÁCIO BRAZÃO                        
 Ensino Médio           |      219585 | MARCO AURELIO RIBEIRO                               
 Ensino Médio           |      220558 | MARCOS ANTONIO PEREIRA GOMES                        
 Ensino Médio           |      220655 | MARIO LUIS FRIAS                                    
 Ensino Médio           |      228042 | NAUMI GOMES DE AMORIM                               
 Ensino Médio           |      204449 | NELSON NED PREVIDENTE                               
 Ensino Médio           |      141518 | PAULO PEREIRA DA SILVA                              
 Ensino Médio           |      220694 | RICARDO MAIA CHAVES DE SOUZA                        
 Ensino Médio           |      204457 | ROGERIO TEIXEIRA JUNIOR                             
 Ensino Médio Incompleto|      220702 | GERALDO GABRIEL MENDES                              
 Ensino Médio Incompleto|      204474 | JUAREZ ALVES DA COSTA                               
 Mestrado               |      160508 | AFONSO BANDEIRA FLORENCE                            
 Mestrado               |      204390 | ALCIDES RIBEIRO FILHO                               
 Mestrado               |      204533 | ANTONIO IDILVAN DE LIMA ALENCAR                     
 Mestrado               |      160600 | ARTHUR DE OLIVEIRA MAIA DA SILVA                    
 Mestrado               |      210989 | BRUNO SOUZA FARIAS                                  
 Mestrado               |      204369 | CAROLINE RODRIGUES DE TONI                          
 Mestrado               |       74467 | DAMIÃO FELICIANO DA SILVA                           
 Mestrado               |      220629 | DANDARA TONANTZIN SILVA CASTRO                      
 Mestrado               |      220705 | DELTAN MARTINAZZO DALLAGNOL                         
 Mestrado               |      143632 | DOMINGOS GOMES DE AGUIAR NETO                       
 Mestrado               |      220611 | EDUARDO PAZUELLO                                    
 Mestrado               |      220610 | FERNANDO RODRIGUES MÁXIMO                           
 Mestrado               |       74171 | FRANCISCO RODRIGUES DE ALENCAR FILHO                
 Mestrado               |      220529 | GILSON DANIEL BATISTA                               
 Mestrado               |      220639 | GUILHERME CASTRO BOULOS                             
 Mestrado               |      220625 | IONE MARIA MOREIRA DIAS BARBOSA                     
 Mestrado               |      178829 | JOSE AUGUSTO ROSA                                   
 Mestrado               |      141464 | JOSÉ AIRTON FÉLIX CIRILO DA SILVA                   
 Mestrado               |      122195 | LEONARDO DE MELO GADELHA                            
 Mestrado               |      220552 | LUCIANO LORENZINI ZUCCO                             
 Mestrado               |      204410 | LUISA CANZIANI DOS SANTOS SILVEIRA                  
 Mestrado               |      141488 | LUIZ PAULO TEIXEIRA FERREIRA                        
 Mestrado               |      204526 | LUIZ PHILIPPE DE ORLEANS BRAGANÇA                   
 Mestrado               |       74784 | LUIZA ERUNDINA DE SOUSA                             
 Mestrado               |      156190 | MARCEL VAN HATTEM                                   
 Mestrado               |      160161 | MARCELO ANDRE CID HERACLITO DO PORTO QUEIROZ        
 Mestrado               |      204433 | MARCELO CALERO FARIA GARCIA                         
 Mestrado               |      204514 | MARCIO TADEU ANHAIA DE LEMOS                        
 Mestrado               |      204522 | MARCO AURELIO BERTAIOLLI                            
 Mestrado               |       74398 | MARIA DO ROSÁRIO NUNES                              
 Mestrado               |      188097 | MERLONG SOLANO NOGUEIRA                             
 Mestrado               |      171786 | MIGUEL ÂNGELO MONTEIRO ANDRADE                      
 Mestrado               |      220530 | Manoel Messias Donato Bezerra                       
 Mestrado               |      204453 | NATÁLIA BASTOS BONAVIDES                            
 Mestrado               |       74160 | PATRUS ANANIAS DE SOUZA                             
 Mestrado               |      141516 | PAULO ABI-ACKEL                                     
 Mestrado               |      204395 | PEDRO DEBONI LUPION MELLO                           
 Mestrado               |      220630 | PEDRO DOSHIKAZU PIANCHAO AIHARA                     
 Mestrado               |      160604 | PEDRO FRANCISCO UCZAI                               
 Mestrado               |      122158 | PEDRO PAULO CARVALHO TEIXEIRA                       
 Mestrado               |      141531 | RODRIGO BATISTA DE CASTRO                           
 Mestrado               |      160629 | ROMERO RODRIGUES VEIGA                              
 Mestrado               |      178945 | ROSANGELA DE SOUZA GOMES                            
 Mestrado               |      220579 | SILVIA NOBRE LOPES                                  
 Mestrado               |      141555 | VINICIUS RAPOZO DE CARVALHO                         
 Mestrado Incompleto    |      220715 | AMOM MANDEL LINS FILHO                              
 Mestrado Incompleto    |      220615 | HENRIQUE DOS SANTOS VIEIRA LIMA                     
 Mestrado Incompleto    |      220670 | IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA        
 Mestrado Incompleto    |      220543 | RICARDO AYRES DE CARVALHO                           
 Mestrado Incompleto    |      204464 | TALIRIA PETRONE SOARES                              
 Nao informado          |      220619 | ALEXANDRE RAMAGEM RODRIGUES                         
 Nao informado          |      234840 | CRISTIANO BEVILACQUA FURLAN                         
 Nao informado          |      229225 | DAÍZE MICHELE DE AGUIAR GONÇALVES COLLINS           
 Nao informado          |      227433 | DOUGLAS DE PAULO VIEGAS                             
 Nao informado          |      227800 | DUARTE EUSTÁQUIO GONÇALVES JUNIOR                   
 Nao informado          |      234388 | FABIANO LOPES FERREIRA CAZECA                       
 Nao informado          |      227401 | FABIO GONÇALVES DE RUEDA                            
 Nao informado          |      227370 | FELIPE MAURÍCIO SALIBA DE SOUZA                     
 Nao informado          |      227991 | FLAVIO CAMPOS FERREIRA                              
 Nao informado          |      220700 | FLORENTINO ALVES VERAS NETO                         
 Nao informado          |      229333 | GLÁUCIA MARIA SANTIAGO RODRIGUES                    
 Nao informado          |      235712 | HEBER GOMES NEIVA                                   
 Nao informado          |      225846 | ITAMAR PAIM PRUCH                                   
 Nao informado          |      235800 | JORGE SILVA DE ARAÚJO                               
 Nao informado          |      220577 | JOSÉ AUGUSTO PUPPIO REIS JÚNIOR                     
 Nao informado          |      235869 | JOÃO CARLOS DOS SANTOS MELLO                        
 Nao informado          |      228837 | JULIANA ROSA DE SOUZA KOLANKIEWICZ                  
 Nao informado          |      228797 | JÚLIO DA SILVA OLIVEIRA                             
 Nao informado          |      229082 | KARLA LUCYANA SOARES CANTO COSTA                    
 Nao informado          |      208297 | KATIA REGINA OLIVEIRA DIAS                          
 Nao informado          |      171139 | LORENY MAYARA CAETANO ROBERTO                       
 Nao informado          |      227323 | LUCIANO RODRIGUES SEIDEL                            
 Nao informado          |      229939 | NEWTON BONIN                                        
 Nao informado          |      222565 | NOELIO DA ROCHA OLIVEIRA                            
 Nao informado          |      100689 | OSMARILDO ALVES DE SOUSA                            
 Nao informado          |      220667 | PEDRO HENRIQUE DE A. L. C. CAMPOS                   
 Nao informado          |      229112 | PEDRO SOUZA CATINGUEIRO JUNIOR                      
 Nao informado          |      229259 | PEDRO TOURINHO DE SIQUEIRA                          
 Nao informado          |      233594 | RAFAEL BENTO PEREIRA                                
 Nao informado          |      228616 | REMY ALVES SOARES FILHO                             
 Nao informado          |      175765 | RIBAMAR ANTONIO DA SILVA                            
 Nao informado          |      233218 | RONDINELLE PEREIRA DE FREITAS                       
 Nao informado          |      233598 | SAMUEL JOSE DOS SANTOS                              
 Nao informado          |      227310 | SILVIO ANTONIO GUIMARAES MACHADO                    
 Nao informado          |      220539 | STÉLIO DENER DE SOUZA CRUZ                          
 Nao informado          |      227275 | TACILLA MARIANA CARVALHO SILVA                      
 Nao informado          |      230177 | TADEU MAGELA DE OLIVEIRA                            
 Nao informado          |      223398 | ULISSES SUAID PORTO GUIMARÃES BORGES                
 Nao informado          |      220590 | ULYSSES FREITAS PEREIRA DE ARAÚJO                   
 Nao informado          |      234673 | VALDERLAN ALVES DE SOUZA                            
 Primário Incompleto    |      160535 | DIONILSO MATEUS MARCON                              
 Pós-Graduação          |      160527 | AGUINALDO VELLOSO BORGES RIBEIRO                    
 Pós-Graduação          |      204572 | ALBERTO BARROS CAVALCANTE NETO                      
 Pós-Graduação          |      220576 | ALFREDO GASPAR DE MENDONÇA NETO                     
 Pós-Graduação          |      204356 | AMARO ROCHA NASCIMENTO NETO                         
 Pós-Graduação          |      220657 | ANDRÉ FERNANDES DE MOURA                            
 Pós-Graduação          |      133439 | ANDRÉ PEIXOTO FIGUEIREDO LIMA                       
 Pós-Graduação          |      220638 | ANTONIO CARLOS RODRIGUES                            
 Pós-Graduação          |      220549 | ANY MACHADO ORTIZ                                   
 Pós-Graduação          |       73433 | ARLINDO CHIGNALIA JUNIOR                            
 Pós-Graduação          |      220642 | BRUNO MARCELLO DE OLIVEIRA LIMA                     
 Pós-Graduação          |      204507 | CARLA ZAMBELLI SALGADO DE OLIVEIRA                  
 Pós-Graduação          |      220649 | CARLOS ALBERTO DA CUNHA                             
 Pós-Graduação          |      220698 | CARLOS ALBERTO GEBRIM PRETO                         
 Pós-Graduação          |      178993 | CARLOS HENRIQUE AMORIM                              
 Pós-Graduação          |      220582 | DANIEL BARBOSA DE ALMEIDA SILVA                     
 Pós-Graduação          |      204459 | DANIELA MOTE DE SOUZA CARNEIRO                      
 Pós-Graduação          |      220603 | DANIELLE DYTZ DA CUNHA                              
 Pós-Graduação          |      204511 | DAVID BEZERRA RIBEIRO SOARES                        
 Pós-Graduação          |      160588 | DIEGO LEONARDO DE ANDRADE CARVALHO                  
 Pós-Graduação          |      220602 | DIMAS DE PAIVA GADELHA JUNIOR                       
 Pós-Graduação          |      160758 | DOMINGOS SÁVIO CAMPOS RESENDE                       
 Pós-Graduação          |       74075 | ELCIONE THEREZINHA ZAHLUTH BARBALHO                 
 Pós-Graduação          |      178854 | ELMAR JOSE VIEIRA NASCIMENTO                        
 Pós-Graduação          |      160538 | ELVINO JOSÉ BOHN GASS                               
 Pós-Graduação          |      160640 | EROS FERREIRA BIONDINI                              
 Pós-Graduação          |      178871 | EVAIR VIEIRA DE MELO                                
 Pós-Graduação          |      220583 | FABIO MICHEY COSTA DA SILVA                         
 Pós-Graduação          |      178905 | FABIO PAULINO GARCIA                                
 Pós-Graduação          |      220688 | FRANCISCO DE ASSIS DE OLIVEIRA COSTA                
 Pós-Graduação          |      220708 | GABRIEL JOSE MOURA NUNES SOARES                     
 Pós-Graduação          |      204491 | GILBERTO APARECIDO ABRAMO                           
 Pós-Graduação          |      204365 | GILSON MARQUES VIEIRA                               
 Pós-Graduação          |      160673 | GIOVANI CHERINI                                     
 Pós-Graduação          |      107283 | GLEISI HELENA HOFFMANN                              
 Pós-Graduação          |      204531 | GUILHERME MURARO DERRITE                            
 Pós-Graduação          |      178966 | Geovânia de Sá                                      
 Pós-Graduação          |      178873 | HELDER IGNACIO SALOMAO                              
 Pós-Graduação          |      178884 | HILDO AUGUSTO DA ROCHA NETO                         
 Pós-Graduação          |      220570 | ISMAEL ALEXANDRINO JUNIOR                           
 Pós-Graduação          |       74848 | JANDIRA FEGHALI                                     
 Pós-Graduação          |       69871 | JOAO CARLOS BACELAR BATISTA                         
 Pós-Graduação          |      230768 | JOSE ADRIANO RIBEIRO DA SILVA                       
 Pós-Graduação          |      204472 | JOSE ANTONIO DOS SANTOS MEDEIROS                    
 Pós-Graduação          |      220560 | JOSE THIAGO ALVES DE CARVALHO                       
 Pós-Graduação          |      220578 | JOSENILDO SANTOS ABRANTES                           
 Pós-Graduação          |       74141 | JOSIAS GOMES DA SILVA                               
 Pós-Graduação          |       74554 | JOSÉ ALVES ROCHA                                    
 Pós-Graduação          |      204559 | JOSÉ CERQUEIRA DE SANTANA NETO                      
 Pós-Graduação          |      220618 | JOSÉ PORTUGAL NETO                                  
 Pós-Graduação          |      160632 | JOSÉ SILVA SOARES                                   
 Pós-Graduação          |      141458 | JOÃO CARLOS PAOLILO BACELAR FILHO                   
 Pós-Graduação          |      220561 | KATARINA FEITOZA LIMA SANTANA                       
 Pós-Graduação          |       80815 | LEONARDO SILVA PRATES                               
 Pós-Graduação          |      178954 | LUCIO ANTONIO MOSQUINI                              
 Pós-Graduação          |      204376 | LUIZ ARMANDO SCHROEDER REIS                         
 Pós-Graduação          |      220687 | MARCIO JOSE HONAISER                                
 Pós-Graduação          |      204506 | MARCOS ANTONIO PEREIRA                              
 Pós-Graduação          |      220604 | MARCOS PAULO BARBOSA TAVARES                        
 Pós-Graduação          |      204540 | MARIA DO PARTO MENDES ROSAS                         
 Pós-Graduação          |      129618 | MARIA GORETE PEREIRA                                
 Pós-Graduação          |      220537 | MARIA HELENA TEIXEIRA LIMA                          
 Pós-Graduação          |      220668 | MARIA LEAL ARRAES DE ALENCAR                        
 Pós-Graduação          |      220701 | MATHEUS ARAUJO LAIOLA                               
 Pós-Graduação          |      178895 | MISAEL ARTUR FERREIRA VARELLA                       
 Pós-Graduação          |      178896 | NEWTON CARDOSO JUNIOR                               
 Pós-Graduação          |       73692 | OSMAR GASPARINI TERRA                               
 Pós-Graduação          |      204573 | OTTO ROBERTO MENDONÇA DE ALENCAR FILHO              
 Pós-Graduação          |      222142 | PAULO ADRIANO LOPES LUCINDA TELHADA                 
 Pós-Graduação          |      171617 | PAULO FERNANDO DOS SANTOS                           
 Pós-Graduação          |      220654 | PAULO FRANCISCO MUNIZ BILYNSKYJ                     
 Pós-Graduação          |      220685 | PAULO HENRIQUE COLETTI FERNANDES                    
 Pós-Graduação          |      220586 | RAFAEL DE GOES BRITO                                
 Pós-Graduação          |      204362 | RICARDO ZANATTA GUIDI                               
 Pós-Graduação          |      220588 | ROBERTO DUARTE JUNIOR                               
 Pós-Graduação          |      220644 | ROSANGELA MARIA WOLFF DE QUADROS MORO               
 Pós-Graduação          |      220533 | Reginaldo Veras Coelho                              
 Pós-Graduação          |      220631 | SAMUEL JOSÉ RODRIGUES DE VIANA                      
 Pós-Graduação          |      178933 | SERGIO DE SOUZA                                     
 Pós-Graduação          |      220597 | THIAGO LEITE FLORES PEREIRA                         
 Pós-Graduação          |      204416 | UBIRATAN ANTUNES SANDERSON                          
 Pós-Graduação          |       74283 | VICENTE PAULO DA SILVA                              
 Pós-Graduação          |      220528 | VICTOR GAROZI LINHALIS                              
 Pós-Graduação          |      160518 | WELITON FERNANDES PRADO                             
 Secundário             |       74550 | JOÃO FELIPE DE SOUZA LEÃO                           
 Secundário             |      141480 | LÁZARO BOTELHO MARTINS                              
 Secundário Incompleto  |      230762 | CLAUDIO MARIANO SILVA                               
 Superior               |      220593 | ABILIO JACQUES BRUNINI MOUMER                       
 Superior               |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        
 Superior               |      221328 | ADILSON BARROSO OLIVEIRA                            
 Superior               |      204560 | ADOLFO VIANA DE CASTRO NETO                         
 Superior               |      220565 | ADRIANA SAUTHIER ACCORSI                            
 Superior               |      178835 | AFONSO ANTUNES DA MOTTA                             
 Superior               |      235088 | AIRES DO ESPIRITO SANTO RIBEIRO NETO                
 Superior               |       74696 | ALBERTO PEREIRA MOURÃO                              
 Superior               |      220690 | ALDEN JOSE LAZARO DA SILVA                          
 Superior               |      204501 | ALENCAR SANTANA BRAGA                               
 Superior               |      220674 | ALESSANDRA HABER CARVALHO SANTOS                    
 Superior               |      178972 | ALEX SPINELLI MANENTE                               
 Superior               |      220554 | ALEXANDRE DUARTE LINDENMEYER                        
 Superior               |      160545 | ALEXANDRE LEITE DA SILVA                            
 Superior               |       74057 | ALICE MAZZUCO PORTUGAL                              
 Superior               |      204353 | ALINE PARANHOS VARONIL GURGEL                       
 Superior               |      226708 | ALLAN QUADROS GARCÊS                                
 Superior               |      178937 | ALTINEU CÔRTES FREITAS COUTINHO                     
 Superior               |      178881 | ALUISIO GUIMARAES MENDES FILHO                      
 Superior               |      220707 | AMANDA KELLY GENTIL GUIMARÃES ROSA                  
 Superior               |      220596 | AMÁLIA SCUDELER DE BARROS SANTOS                    
 Superior               |      220704 | ANA CAROLINA MOURA MELO DARTORA                     
 Superior               |      225727 | ANA FLÁVIA RODRIGUES RAMIRO                         
 Superior               |      225730 | ANA PAULA BRANDÃO DA SILVA FARIAS                   
 Superior               |      220556 | ANA PAULA DE SOUZA LIMA                             
 Superior               |      107970 | ANA PAULA PROCOPIO JUNQUEIRA                        
 Superior               |      178831 | ANDRE DOS SANTOS ABDON                              
 Superior               |      204515 | ANDRE LUIS GASPAR JANONES                           
 Superior               |      178882 | ANDRE LUIZ CARVALHO RIBEIRO                         
 Superior               |      220676 | ANDREIA BRITO GONÇALVES SIQUEIRA                    
 Superior               |      204423 | ANDRÉ FERREIRA RODRIGUES                            
 Superior               |      204479 | ANTONIO CARLOS NICOLETTI                            
 Superior               |      204504 | ANTONIO CEZAR CORREIA FREIRE                        
 Superior               |      212625 | ANTONIO ELIZABETH GONÇALO DE SOUSA                  
 Superior               |      204549 | ANTONIO JOSE AGUIAR ALBUQUERQUE                     
 Superior               |      220675 | ANTONIO LEOCÁDIO DOS SANTOS                         
 Superior               |      160553 | ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO        
 Superior               |      220544 | ANTONIO POINCARE ANDRADE FILHO                      
 Superior               |      178934 | ANTONIO WANDSCHEER                                  
 Superior               |      123756 | ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA                  
 Superior               |      204550 | ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR                  
 Superior               |      204524 | ANTÔNIO PINHEIRO NETO                               
 Superior               |      141391 | ARNALDO CALIL PEREIRA JARDIM                        
 Superior               |      160541 | ARTHUR CÉSAR PEREIRA DE LIRA                        
 Superior               |      160665 | AUGUSTO RODRIGUES COUTINHO DE MELO                  
 Superior               |       74646 | AÉCIO NEVES DA CUNHA                                
 Superior               |      204374 | BEATRIZ KICIS TORRENTS DE SORDI                     
 Superior               |       73701 | BENEDITA SOUZA DA SILVA SAMPAIO                     
 Superior               |      221339 | BENJAMIM DE OLIVEIRA                                
 Superior               |      220635 | BRUNO AREVALO GANEM                                 
 Superior               |      143942 | CAIO SANTOS VIANNA                                  
 Superior               |      220548 | CAMILA BAZACHI JARA MARZOCHI                        
 Superior               |      204361 | CARLOS ALBERTO CHIODINI                             
 Superior               |      220683 | CARLOS ALBERTO RICHA                                
 Superior               |      141398 | CARLOS ALBERTO ROLIM ZARATTINI                      
 Superior               |       74262 | CARLOS HENRIQUE FOCESI SAMPAIO                      
 Superior               |      164360 | CARMEN EMÍLIA BONFÁ ZANOTTO                         
 Superior               |      178876 | CELIO ANTONIO DA SILVEIRA                           
 Superior               |      204488 | CELIO STUDART BARBOSA                               
 Superior               |       73441 | CELSO UBIRAJARA RUSSOMANNO                          
 Superior               |      205476 | CHARLES FERNANDES SILVEIRA SANTANA                  
 Superior               |      204462 | CHRISTINE NOGUEIRA DOS REIS TONIETTO                
 Superior               |      141408 | CLEBER VERDE CORDEIRO MENDES                        
 Superior               |       88256 | CLODOALDO MAGALHÃES OLIVEIRA LYRA                   
 Superior               |       74537 | CLÁUDIO CAJADO SAMPAIO                              
 Superior               |      220608 | CRISTIANE LOPES DA LUZ                              
 Superior               |      204460 | Carlos Roberto Jordy Coelho de Mattos               
 Superior               |      220584 | CÁSSIO MURILO GALDINO DE ARAÚJO                     
 Superior               |      141411 | DAGOBERTO NOGUEIRA FILHO                            
 Superior               |      220555 | DAIANA SILVA DOS SANTOS                             
 Superior               |      204367 | DANIEL COSTA DE FREITAS                             
 Superior               |       74060 | DANIEL GOMES DE ALMEIDA                             
 Superior               |      228941 | DANIEL JOSÉ DA SILVA OLIVEIRA                       
 Superior               |      204409 | DANIEL TRZECIAK DUARTE                              
 Superior               |      220557 | DANIELA CRISTINA REINEHR                            
 Superior               |      116379 | DARCI DE MATOS                                      
 Superior               |       73486 | DARCI POMPEO DE MATTOS                              
 Superior               |      220534 | DAVYS FREDERICO TEIXEIRA LINHARES                   
 Superior               |      228272 | DELIO PINHEIRO NETO                                 
 Superior               |      220553 | DENISE DA SILVA PESSÔA                              
 Superior               |      178929 | DIEGO ALEXSANDER GONCALO PAULA GARCIA               
 Superior               |      220691 | DIEGO HENRIQUE SILVA CERQUEIRA MARTINS              
 Superior               |       73768 | DILCEU JOÃO SPERAFICO                               
 Superior               |      160599 | DIMAS FABIANO TOLEDO JÚNIOR                         
 Superior               |      220573 | DORINALDO BARBOSA MALAFAIA                          
 Superior               |      220540 | DUDA BRITO RAMOS                                    
 Superior               |      220623 | DUDA SALABERT ROSA                                  
 Superior               |      178908 | EDER MAURO CARDOSO BARRA                            
 Superior               |      220605 | EDUARDO CARVALHO BANDEIRA DE MELLO                  
 Superior               |      204541 | EDUARDO HENRIQUE MAIA BISMARCK                      
 Superior               |       92346 | EDUARDO NANTES BOLSONARO                            
 Superior               |      220589 | EDUARDO OVÍDIO BORGES DE VELLOSO VIANNA             
 Superior               |      204364 | ELI DIAS BORGES                                     
 Superior               |      220008 | ELIZA VIRGINIA DE SOUZA FERNANDES                   
 Superior               |      234406 | ELMANO FÉRRER DE ALMEIDA                            
 Superior               |      224333 | ELTON CARLOS WELTER                                 
 Superior               |      198783 | EMANUEL PINHEIRO DA SILVA PRIMO                     
 Superior               |      220645 | ERIKA SANTOS SILVA                                  
 Superior               |      204482 | EUCLYDES MARCOS PETTERSEN NETO                      
 Superior               |       74454 | EUNÍCIO LOPES DE OLIVEIRA                           
 Superior               |      220621 | EVANDRO GONÇALVES DA SILVA JÚNIOR                   
 Superior               |       68720 | FABIO HENRIQUE SANTANA DE CARVALHO                  
 Superior               |       66828 | FAUSTO RUY PINATO                                   
 Superior               |      220712 | FAUSTO VIEIRA DOS SANTOS JUNIOR                     
 Superior               |      220646 | FELIPE BECARI COMENALE                              
 Superior               |      160666 | FELIX DE ALMEIDA MENDONÇA JÚNIOR                    
 Superior               |      220656 | FERNANDA ENEIDA PESSOA CARACAS DE SOUZA             
 Superior               |      204407 | FERNANDA MELCHIONNA E SILVA                         
 Superior               |      141431 | FERNANDO BEZERRA DE SOUZA COELHO FILHO              
 Superior               |       74383 | FERNANDO LÚCIO GIACOBO                              
 Superior               |       92699 | FERNANDO MONTEIRO DE ALBUQUERQUE                    
 Superior               |      204427 | FERNANDO RODOLFO TENORIO DE VASCONCELOS             
 Superior               |      204445 | FERNANDO WANDERLEY VARGAS DA SILVA                  
 Superior               |      204411 | FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO            
 Superior               |      220545 | FILIPE MARTINS DOS SANTOS                           
 Superior               |      160598 | FLÁVIA CARREIRO ALBUQUERQUE MORAIS                  
 Superior               |      191923 | FLÁVIO RODRIGUES NOGUEIRA                           
 Superior               |      220551 | FRANCIANE ABADE BAYER MULLER                        
 Superior               |      226553 | FRANCISCA ELIANE BRAZ DE CARVALHO                   
 Superior               |      162067 | FRANCISCO DANIEL CELEGUIM DE MORAIS                 
 Superior               |       62881 | FRANCISCO DANILO BASTOS FORTE                       
 Superior               |      204518 | FREDERICO DE CASTRO ESCALEIRA                       
 Superior               |      204368 | FÁBIO LUIZ SCHIOCHET FILHO                          
 Superior               |       74065 | FÁTIMA LÚCIA PELAES                                 
 Superior               |      220653 | Fábio Eduardo de Oliveira Teruel                    
 Superior               |      224117 | GABRIEL MOTA E SILVA                                
 Superior               |      220587 | GEHLEN DINIZ ANDRADE                                
 Superior               |      204520 | GERALDO JUNIO DO AMARAL                             
 Superior               |       74374 | GERALDO RESENDE PEREIRA                             
 Superior               |      204394 | GERVÁSIO AGRIPINO MAIA                              
 Superior               |      220574 | GILBERTO GOMES DA SILVA                             
 Superior               |       74270 | GILBERTO NASCIMENTO SILVA                           
 Superior               |      204570 | GILDENEMIR DE LIMA SOUSA                            
 Superior               |      220526 | GILVAN AGUIAR COSTA                                 
 Superior               |      226179 | GISELA SIMONA VIANA DE SOUZA                        
 Superior               |      152605 | GLAUBER DE MEDEIROS BRAGA                           
 Superior               |      204419 | GLAUSKSTON BATISTA RIOS                             
